	temp41	temp66	temp80	temp67	temp44	temp72	temp77	temp65	temp68	temp51	temp50	temp59	temp70	temp49	temp73	temp45	temp79	temp75	temp76	temp43	temp71	temp52	temp62	temp64	temp61	temp60	temp53	temp54	temp48	temp46	temp56	temp55	temp47	temp74	temp69	temp63	temp78	temp58	temp57	temp42	temp95	temp86	temp117	temp88	temp96	temp100	temp81	temp92	temp112	temp109	temp120	temp114	temp82	temp102	temp93	temp119	temp89	temp107	temp91	temp87	temp103	temp105	temp98	temp104	temp106	temp111	temp113	temp116	temp83	temp94	temp84	temp115	temp118	temp85	temp97	temp90	temp110	temp101	temp108	temp99
ZNF174	2633.28125	3163.265625	2168.441146	2763.682292	7213.85	2315.036979	2488.634375	2253.108333	3250.479167	2301.270833	2572.944792	2771.070833	3042.015625	3042.015625	2809.375	2754.284375	2823.6375	3067.279167	2957.64375	2863.465625	2476.594792	2940.344792	2613.434896	2572.944792	2913.047917	3235.828125	2922.846875	2876.582292	2510.590625	1943.454167	1940.678125	3163.265625	2710.022917	2016.81875	1993.096875	2052.628125	3437.925	2161.422917	2253.108333	1976.336458	2700.627083	2502.535417	2301.270833	2244.439583	2887.954167	2377.46875	5359.00625	2763.682292	2495.494792	2656.889583	2564.9875	2827.989583	2983.836458	3042.015625	2462.621875	3163.265625	2103.34375	2870.023958	2538.697917	2656.889583	2306.648958	2510.590625	2488.634375	2557.132292	2056.865625	1859.5375	2143.128125	1940.678125	2945.726042	1872.083333	2150.6	2019.688542	1985.713542	2633.28125	2227.91875	1859.5375	2043.139583	2827.989583	2462.621875	2036.686458
ZNF19	1121.573958	1095.482292	1092.46875	1324.60625	1237.292708	1175.653646	1018.594792	1046.096354	1203.03125	1013.334375	1316.7	1256.346875	1229.884375	1249.080208	1305.383333	1189.926042	1115.775	1188.530208	1172.494792	1393.515104	938.2583333	1422.560417	1272.023958	1360.738542	969.0770833	1247.964583	1348.935417	976.8104167	1248.716667	1104.480208	1135.213542	1659.976042	1228.754688	1196.448438	1450.5	1239.704167	1255.986458	1297.913542	1394.044792	1174.65	1111.884896	1264.986458	983.7494792	1153.660937	1256.707292	1139.065104	1219.652083	1203.03125	1151.492187	1203.03125	1209.054167	1338.402083	1363.967708	1249.080208	962.89375	1220.26875	978.90625	1134.623958	1206.770833	1173.552604	1086.536458	1109.18125	1217.491146	1273.177083	1295.059375	1390.460938	1250.232292	1150.436458	1235.766667	1317.751563	1162.74375	1219.34375	1363.091667	1104.844271	1384.4625	1264.986458	1096.89375	1456.246875	1093.709375	963.2104167
ZNF202	1435.2125	1663.00625	1639.509375	1661.473958	1361.963021	1292.182292	1352.470833	1504.041667	1778.676042	1207.530208	1307.098958	1608.597917	1685.894792	1680.658333	1356.509896	1478.738542	1579.421875	1689.19375	1281.479167	1586.530208	1145.645313	1298.727083	1319.595833	1479.19375	1619.296875	1445.143229	1513.348958	1475.108333	1624.859375	1361.094271	1514.238542	1726.051562	1675.682292	1470.815104	1449.223438	1677.525	1638.06875	1764.659375	1736.44375	1522.570313	1359.60625	1358.192188	1202.659896	1163.422917	1439.33125	1298.727083	1620.88125	1483.316667	1319.595833	1640.155208	1522.026042	1606.430208	1500.604167	1630.225	1238.038542	1410.290625	1183.963542	1652.0625	1187.165625	1505.069792	1431.396875	1510.551563	1703.861458	1620.089063	1732.186458	1592.14375	1732.186458	1452.39375	1436.695313	1745.364583	1726.051562	1388.080208	1821.38125	1685.894792	1761.414583	1834.835417	1342.484896	1275.4625	1453.341667	1210.173958
ZNF207	6262.38125	4629.33125	4139.334375	5359.00625	3547.228125	2898.5625	3786.270833	4978.934375	8821.4125	3147.695833	3250.479167	5800.608333	12144.94375	4183.884375	8043.261458	4291.951042	3815.270833	4266.955208	7653.9375	3899.823958	3128.828125	4793.95625	3687.9375	3179.815625	4706.453125	4886.20625	3600.286458	3936.090625	5103.425	1949.334375	2819.285417	4706.453125	4352.679167	3749.396875	3128.828125	4015.111458	7653.9375	4886.20625	4095.280208	2971.684375	4793.95625	3250.479167	2593.919792	2983.836458	5207.890625	2423.853125	3749.396875	4291.951042	2602.316667	4095.280208	4241.959375	4499.759375	4793.95625	5977.954167	2898.5625	3457.121875	2291.464583	3526.278125	4241.959375	3498.122917	2754.284375	3547.228125	5800.608333	3815.270833	3687.9375	3600.286458	3457.121875	3687.9375	3416.659375	3936.090625	4241.959375	2640.984375	3192.333333	4554.33125	5800.608333	4629.33125	2545.911458	4978.934375	3042.015625	2291.464583
ZNF256	1379.389583	1401.820833	1412.090625	1401.820833	1249.44375	1172.154167	1296.009375	1060.807292	1559.945833	1157.06875	1315.905208	1417.846875	1453.771354	1484.992708	1420.995833	1454.201042	1327.11875	1497.422917	1823.640625	1413.051042	1056.7125	1495.690625	1305.383333	1703.066667	1441.545833	1352.470833	1480.110417	1217.070833	1398.45	1146.810417	1113.696875	1528.620833	1505.069792	1248.716667	1390.028125	1310.23125	1467.758333	1495.134375	1456.622917	1204.419792	1358.192188	1203.03125	1160.6125	1234.121875	1500.135417	1296.99375	1497.422917	1447.53125	1220.577083	1400.069792	1440.2875	1395.847917	1428.117188	1392.985417	1211.074479	1285.744792	1153.282292	1262.097917	1362.476042	1394.89375	1213.328125	1399.258333	1269.509896	1402.258854	1386.115625	1323.067708	1282.807292	1241.791667	1301.26875	1411.083333	1406.090625	1267.022396	1418.821875	1387.152083	1549.864063	1455.764063	1086.865625	1454.201042	1265.646875	1036.033854
ZNF274	1439.33125	1584.443229	2436.109375	1607.8125	1355.450521	1388.080208	1435.2125	1845.458854	1469.6125	1183.963542	1369.582292	1403.836458	1567.867708	1733.525	1489.989583	1442.041146	1672.191667	1581.863542	1311.645833	1478.738542	1198.35625	1289	1275.094792	1244.476042	1559.945833	1413.051042	1425.25	1572.227604	1421.35	1552.602083	1578.676042	1568.791667	1640.801042	1582.513542	1478.283333	1652.745833	1478.283333	1804.115625	1620.88125	1513.348958	1299.785417	1368.382292	1256.346875	1273.494792	1371.822917	1327.84375	1487.063542	1370.692708	1415.4625	1628.047396	1559.945833	1494.032292	1424.842188	1588.795833	1402.258854	1299.25625	1312.401042	1502.70625	1422.132292	1480.652083	1499.630208	1487.063542	1674.307292	1471.286458	1610.353125	1528.620833	1592.14375	1496.246875	1446.496875	1635.711458	1494.032292	1423.440625	1581.213542	1658.552083	1581.213542	1710.283333	1362.476042	1177.027083	1480.110417	1226.834375
ZNF276	2430.065625	2091.064583	2079.673958	2722.117708	2213.608333	1539.809375	1859.5375	1410.290625	2096.008333	1749.715625	1902.453646	2617.430208	2665.376042	1568.329688	1993.096875	2088.330208	1435.707813	1966.040625	3860.796875	4241.959375	1622.278125	1911.353125	2372.05625	6262.38125	2353.2875	2593.919792	1763.1	1835.680208	2293.751563	1556.404167	1640.801042	1622.278125	2186.60625	1895.855208	1840.004167	2186.60625	2887.954167	2190.56875	2510.590625	1901.526042	2248.498958	1869.754167	1458.388542	1624.859375	1857.383333	1664.465625	1376.96875	1773.89375	1626.11875	1687.115625	1962.79375	2114.021875	2850.253125	2640.984375	1533.313542	1993.096875	1289	1350.747917	1625.489063	1766.275	1590.617708	1454.201042	1719.108333	1429.191667	3067.279167	2557.132292	1574.09375	2023.467708	1988.04375	1910.048958	2913.047917	1697.198958	1672.191667	2157.357292	2194.622917	2250.803646	1800.020313	1746.936458	1595.8875	1712.040625
ZNF277	2064.95	2476.594792	2084.913542	2046.71875	1960.219792	1923.191667	1801.498438	1767.327083	2186.60625	1639.509375	2253.108333	1976.336458	2208.095833	1848.34375	1879.179167	2700.627083	1879.179167	2088.330208	2564.9875	1736.44375	1661.473958	2436.109375	2130.730208	1603.133333	2411.509375	2163.703125	2798.342708	1839.095313	1889.126563	2084.913542	1917.051042	2059.81875	1955.007292	2049.991667	1879.179167	1978.557292	2418.395833	2079.673958	2190.56875	2019.688542	2143.128125	1746.150521	1755.426563	1780.494792	1828.069792	1834.835417	1935.903125	1968.490625	1808.536458	1842.466667	2058.342188	1917.051042	2139.305208	2468.751042	1858.460417	1981.867708	1887.967708	1976.336458	1907.457292	1804.115625	1885.522917	1925.340625	1816.946875	1935.903125	2130.730208	1931.559375	2286.641667	2387.96875	2010.684375	2091.064583	2074.320833	2135.859375	1998.49375	2071.65	2002.507292	2135.859375	1985.713542	1628.666667	1643.030208	1708.160417
ZNF282	1414.163542	1472.209375	1350.019792	1436.203125	1416.99375	1292.182292	1471.286458	954.5552083	1406.840625	1283.252083	1471.286458	1422.132292	1448.735417	1558.272396	1360.172396	1478.738542	1470.815104	1426.413542	1188.530208	1445.143229	1141.021875	1532.772917	1412.570833	1949.334375	1232.694792	1423.440625	1252.342708	1461.116667	1446.045833	1395.847917	1394.89375	1416.99375	1667.129167	1603.820313	1434.308333	1204.104167	1456.998958	1277.9375	1515.378125	1298.727083	1218.715625	1322.580729	1153.282292	1247.19375	1585.040625	1170.034896	1674.307292	1317.042708	1354.894792	1603.133333	1412.090625	1202.288542	1405.027083	1294.291667	1373.877083	1328.929167	1237.292708	1437.1875	1619.296875	1469.6125	1205.815625	1501.633854	1723.195833	1409.0375	1486.142708	1297.913542	1329.596875	1252.615625	1292.182292	1578.676042	1352.022396	1285.360417	1339.301042	1601.065625	1340.21875	1626.11875	1247.964583	1435.2125	1319.224479	1147.501042
ZNF3	936.4947917	1011.514583	1054.132292	850.490625	933.4114583	798.303125	762.9104167	1110.263542	989.6041667	799.5802083	807.2541667	825.875	937.2989583	914.1635417	864.478125	937.6098958	894.9458333	975.4260417	892.25625	832.4510417	831.6854167	793.7625	849.971875	774.6	919.3385417	782.540625	877.1270833	990.6208333	930.8526042	933.0255208	917.8572917	1125.020833	981.9614583	1000.054167	957.7953125	864.478125	891.4541667	1094.783333	1048.666667	941.440625	826.9052083	811.3947917	803.746875	810.959375	839.0833333	886.4385417	1055.136979	839.9822917	802.6833333	869.5145833	856.2135417	789.3333333	916.8828125	920.1208333	717.96875	933.7692708	790.4333333	1045.211458	859.628125	853.9395833	913.2	881.8291667	1059.111458	799.5802083	1041.417708	948.5541667	1071.09375	956.8447917	1015.189583	982.6177083	1023.178125	981.45	1080.120833	871.190625	938.5958333	1039.734375	925.9473958	908.3197917	787.1020833	893.1958333
ZNF323	2353.2875	2186.60625	2153.648958	2488.634375	1879.179167	1719.108333	2139.305208	2436.109375	2262.364583	1531.73125	1772.467708	2443.7125	2754.284375	2067.247917	2127.011458	1869.754167	2058.342188	2043.139583	2204.5375	1901.526042	1550.578125	1757.573958	1974.135417	1635.711458	2387.96875	2353.2875	1998.49375	2157.357292	2074.320833	1583.179688	1995.525	1893.071875	2147.052083	2165.983333	2277.96875	1663.00625	2648.503125	2426.959375	2640.984375	1933.583333	2387.96875	1782.334375	1476.925	1633.0625	2495.494792	1777.141667	2064.95	1778.676042	1656.041667	2291.464583	2208.095833	1940.678125	2157.357292	2691.54375	1530.677083	1995.525	1381.349479	1800.85	2076.49375	1960.219792	1821.38125	2003.884375	2153.648958	1868.811458	2218.482292	2239.641667	2059.81875	1919.8	2161.422917	2175.155208	2517.0125	1667.129167	1988.04375	2602.316667	1962.79375	2579.41875	1671.330729	1917.051042	1842.466667	1473.270833
ZNF331	1042.16875	1313.415625	1286.6375	1210.763542	1239.704167	1155.297396	1006.998958	899.125	1151.492187	1048.666667	1252.342708	1114.285417	1200.582292	1209.770833	1335.935417	1250.232292	1071.09375	1131.251042	1472.209375	1299.25625	995.3458333	1218.313542	1208.740625	1404.267708	1385.405208	1200.865625	1173.975	930.478125	962.2229167	1269.509896	1242.117708	1300.594792	1215.314583	1362.783854	1514.238542	1293.641667	1148.971875	1356.00625	1357.013542	1247.964583	1116.047917	1284.11875	1093.428125	1095.482292	1553.861458	1013.334375	1103.75	1107.033854	1164.33125	1182.934375	1233.738021	1216.001563	1217.911458	1228.408333	1086.203646	1387.152083	1078.803125	1163.877083	1576.784375	1148.177083	1214.954167	1138.295833	1271.338542	1066.604688	1487.063542	1386.115625	1200.865625	1269.240625	1348.935417	1217.070833	1336.759375	1307.098958	1239.996875	1071.09375	1437.736979	1581.213542	1136.834375	1644.81875	1139.748437	1054.132292
ZNF346	2531.16875	2306.648958	2157.357292	2399.4	2277.96875	2123.544792	2353.2875	1694.138542	2443.7125	2286.641667	2353.2875	3012.990625	2971.684375	2003.884375	2306.648958	1857.383333	1859.5375	2277.96875	3205.919792	2235.569792	2107.00625	2296.038542	2387.96875	2159.390104	2367.764583	2754.284375	2064.95	4241.959375	2316.992708	1998.49375	1935.903125	1855.14375	2059.81875	2208.095833	2488.634375	2088.330208	3128.828125	2343.360417	2538.697917	1940.678125	3029.175	2003.884375	1856.263542	1861.819792	2798.342708	1891.678646	2001.130208	1974.135417	2092.335938	1934.743229	2272.735417	2426.959375	2551.177083	2623.830208	1907.457292	2679.3375	1658.552083	1863.805208	2383.460417	2084.913542	1816.946875	2143.128125	1903.38125	1879.179167	2143.128125	2114.021875	2110.584375	2006.875	2165.983333	2081.788542	2700.627083	2030.396875	1923.191667	2679.3375	2433.0875	2502.535417	1990.40625	2648.503125	1975.235938	1800.85
ZNF35	1863.805208	2127.011458	1649.310938	2223.540625	1881.528125	1574.630208	1638.06875	1659.264063	2545.911458	1465.549479	1682.4875	1881.528125	2246.469271	1985.713542	1955.007292	2117.261458	1738.678125	2227.91875	1901.526042	1931.559375	1347.246875	1934.743229	1850.329167	2262.364583	2150.6	2023.467708	2343.360417	1700.5125	1674.994792	1239.996875	1361.45	2488.634375	2013.857292	1439.33125	1115.1	1656.041667	2257.2875	1745.364583	1619.296875	1462.147917	1879.179167	1703.066667	1415.4625	1513.79375	1700.5125	1694.834896	1876.69375	2225.729688	1624.859375	1923.191667	1852.820833	2001.130208	1976.336458	2181.934375	1428.117188	1815.988021	1400.85	2013.857292	1607.121354	1971.361458	1578.676042	1907.457292	1738.678125	1850.329167	2027.046875	1491.05	1685.894792	1527.258333	1516.455208	1601.065625	1519.719792	1474.109375	1723.195833	1828.069792	1903.38125	1453.771354	1281.920833	2267.526042	1724.964583	1256.707292
