feature	control	acpa_neg	acpa_pos
S-1-pyrroline-5-carboxylate	1.0907700695595826	0.9572886403501787	0.9950588567186618
spermidine	1.2088294874949357	1.0762227102106963	0.9836435395279914
1-methylnicotinamide	1.6417163637877459	1.0785331382398715	1.0561821148758044
5-hydroxyindoleacetate	2.0313407730598794	1.143030592815854	1.1959904029235222
alpha-ketoglutarate	1.02712604117062	1.1258006176816457	1.0315341254242667
kynurenate	1.1672729232776755	0.9854808592467995	1.0140086681269291
3-hydroxyisobutyrate	1.1220500674981198	1.2183883971170986	1.0673585271114854
3-hydroxy-3-methylglutarate	1.3057775703635075	1.0775190432181376	1.0620749777470115
homovanillate (HVA)	1.0783702829052002	0.9018697286616222	2.092501084389609
3-phosphoglycerate	1.1727540914576051	1.2458040901058696	1.1023503130428276
cholate	3.3193276232689586	1.1772065718196112	2.3124288908275044
5,6-dihydrothymine	1.0019209187833649	1.0445010845738365	0.9824453439625063
hypoxanthine	3.787935617524091	1.0996029303880779	1.4760769262922857
linoleate (18:2n6)	1.1318979801292666	1.2468223121802557	1.0707165396258633
laurate (12:0)	1.0522051995802528	1.5517567280679518	1.5743478160438373
quinolinate	1.2278116076782817	1.2295552818394493	1.0655383088767671
N6,N6,N6-trimethyllysine	1.210375485984191	1.1050338074557085	1.0420424926076004
N-acetylputrescine	1.1941691317256613	1.0994557593607064	1.0654145786665374
N-formylmethionine	1.1552281362899466	0.9812138643838262	1.0030149293856447
S-adenosylhomocysteine (SAH)	1.1058535387911315	1.0258831635442587	1.0739118063846644
adenosine 3',5'-cyclic monophosphate (cAMP)	0.9862727199506001	1.0127223669020324	1.0175243643783392
adenosine 5'-diphosphate (ADP)	1.2164098461433377	1.3051326650842712	1.0598425402571678
adenosine 5'-monophosphate (AMP)	1.2302020783369314	1.2323768959144934	1.115217064904569
5-methylthioadenosine (MTA)	1.044838630505017	1.0518683317833	1.0810970166504168
N6-methyladenosine	1.0763286621081054	1.0242851094017538	0.972260870534139
arachidonate (20:4n6)	1.156106623093693	1.1595487652224965	0.9507051199377716
arginine	1.1263723837905475	0.9039490641646831	0.9291596371472451
aspartate	1.1097185286968951	1.083423939062508	1.0195683410404184
3-(4-hydroxyphenyl)lactate	1.0464309068608257	0.9923323133610513	1.0979287298962268
phenylpyruvate	1.0201243996651344	1.0783866964325055	1.0514413911613083
beta-alanine	1.0380820432067064	1.125706579082642	1.1477840971097124
biliverdin	1.2178586014291088	1.0741345381322145	1.1920584775514174
succinate	0.9928028344597636	1.0959188713201007	1.094197568674471
3-hydroxybutyrate (BHBA)	1.9405876962116984	3.504247030359978	2.0157064581223025
cholesterol	1.0715270398088057	1.0337159171702868	0.9647345410585767
choline phosphate	1.1656760542285145	1.0180389978921482	0.9776903522883539
cortisone	1.0297956683721972	0.8760802857462394	0.8672360796566572
creatinine	1.1136395672061281	0.9975740285407507	1.0102658976745837
cysteinylglycine	1.02920790333827	1.082539992207597	1.0475711056791348
cystine	1.1408682241532953	1.1117169891126863	1.0214420001476412
sphingosine	1.0475295058579968	1.402989253767693	1.2110986804605475
deoxycholate	1.2349495901884877	0.7746844572600684	1.4037939837730047
cystathionine	1.148249466824921	1.188349968966177	1.299225321110622
sphinganine	1.0516273360801465	1.2729934771559839	1.1341126862988133
flavin adenine dinucleotide (FAD)	1.0088954900036162	1.0477708322570647	0.9854569406416284
fumarate	1.101230649572946	1.1558578665232553	1.090250680915289
gamma-glutamylglutamate	1.1644841099645953	1.0605296958789907	1.0148129833797266
gluconate	1.0692288038847053	1.039479304167522	0.9829249568390692
glycine	1.1202751679046314	1.0144971630243491	0.9981228001238076
glycocholate	1.6628320589290542	1.233356873613893	1.6108062074459857
guanidinoacetate	1.0867498387159038	1.0269015840362523	1.0678101164660483
histidine	1.033473389741044	0.9730871981118325	0.9991626814601091
cortisol	1.1584258171180688	1.0835364382465638	0.9473290755892814
hypotaurine	1.1948881857196934	1.2913367078900062	1.1741740720651925
inosine	3.782254091674651	1.1587062350312758	1.5229634684625688
inosine 5'-monophosphate (IMP)	1.1461585814440194	1.3600649012540185	1.3095192914946436
myo-inositol	1.1541319065071947	0.9508116902637757	0.9590620549121776
isoleucine	0.9891098653123434	1.0713313766238233	1.0103082294798804
2-aminoadipate	1.1306487809935482	1.1752023702238634	1.1052315859711246
citrulline	1.1452610425306327	0.94397826598828	0.9628228656730902
leucine	1.005923358295674	1.076994317164787	0.9927015110508011
lysine	0.987700147026129	0.9989006976860488	0.9989007727349514
malate	1.1615159483337552	1.1513906859955805	1.0711811267325795
methionine	1.0214701102779649	1.026655887128864	1.010484247472666
palmitate (16:0)	1.0338740179035442	1.1295982544978984	0.9903643289741032
nicotinamide	1.09705646330033	1.1319143475397189	1.021426084478862
stearate (18:0)	1.0318211585354162	1.104715207024804	0.9996126371313229
ornithine	0.921825927373305	1.060336399122579	1.0791548170288465
orotate	1.3191554314444554	1.0700636995721218	1.3396129248537563
palmitoleate (16:1n7)	1.2883717879622916	1.6599858494647874	1.2081689804961762
phenylalanine	0.9680238057080427	1.0343308804442264	1.0521142118690716
phosphate	1.0117507448288192	1.0090129168721913	0.9877499819534968
phytanate	1.264720939131767	1.4683622913193477	1.1127488027223154
proline	1.0136966266296767	1.016816019760899	1.0364815564294036
lactate	0.9043089294299302	1.177819318239624	1.0583232047199385
pyridoxal	1.3641548535500203	1.7392724715897634	1.2528810041788752
retinol (vitamin A)	1.1245394323034805	1.0332019779399564	0.9288919046871762
salicylate	38.051549700071575	24.320182173200806	4.506335856944773
