	temp41	temp44	temp68	temp70	temp79	temp71	temp61	temp48	temp47	temp78	temp66	temp72	temp51	temp49	temp75	temp52	temp60	temp46	temp74	temp58	temp80	temp77	temp50	temp73	temp76	temp62	temp53	temp56	temp69	temp57	temp67	temp65	temp59	temp45	temp43	temp64	temp54	temp55	temp63	temp42	temp95	temp96	temp112	temp82	temp89	temp103	temp106	temp83	temp118	temp110	temp86	temp100	temp109	temp102	temp107	temp105	temp111	temp94	temp85	temp101	temp117	temp81	temp120	temp93	temp91	temp98	temp113	temp84	temp97	temp108	temp88	temp92	temp114	temp119	temp87	temp104	temp116	temp115	temp90	temp99
1-(1-enyl-stearoyl)-GPE (P-18:0)*	1.447448137	0.920287746	1.039374989	1.782509588	0.509414321	1.258257341	1.043131242	0.801237955	1.221177026	1.116718529	1.549895268	0.937046428	0.897334456	0.965863297	0.849355242	1.064331187	1.28986741	0.857345996	1.039280927	0.951724017	1.198946371	0.679791749	0.843062258	1.296638469	0.722019913	0.564986642	1.147886249	1.15901314	0.980477372	0.980562459	0.828640965	0.787977504	1.178820972	1.648542135	1.231675688	0.794704725	0.960160744	0.940689462	0.744866542	1.286466693	0.87213784	1.284809482	1.579351584	0.78416188	1.488883594	1.197137626	0.919910118	0.500619642	0.618802857	1.720266828	0.641102893	1.120819444	0.898717077	0.925852917	1.699391007	0.887137482	1.434930515	1.417645951	0.48560602	0.563994766	1.14786036	0.765548889	0.734105197	1.737451462	1.698805581	0.837366953	1.067919856	1.298693501	1.06503363	1.358528972	1.396133617	0.838929413	0.741772862	1.22241933	0.956936759	1.235678745	0.712524518	1.019437541	1.205229	0.927300776
linoleoylcarnitine (C18:2)*	0.910331342	0.815896221	1.076660738	0.855490609	1.271720164	0.79256291	1.318946877	2.391173657	0.845905545	0.898404916	1.163914283	0.797512704	1.012700863	0.471521108	1.209201804	1.08271855	0.805667436	0.703870072	0.913534893	0.917212204	0.740085498	0.941924091	1.034238326	2.137916758	1.248546852	0.585727832	1.567788098	0.726588694	0.997576452	0.989512472	0.784883609	1.173635116	2.15852472	1.53239577	1.230699889	1.403555503	0.712594069	1.036443871	1.224927259	1.019787075	1.116499473	0.931400279	0.944777539	2.198988419	0.899415873	0.950467875	1.499514909	1.200003498	0.604042365	1.002423548	1.038090162	1.094535849	1.044579678	1.033857661	1.031627146	1.364305675	0.76183192	0.90843344	0.931980632	1.326757359	0.627063947	1.454052767	0.538810412	0.708098488	1.353246456	0.840995583	0.63765182	0.764308764	1.004180161	0.889612245	1.063884715	0.988542542	1.17100635	1.454367961	0.832575693	1.296871808	0.673747009	0.537769252	1.010738708	0.73164188
isoleucylglycine	1.047615904	0.739410742	0.787965469	0.997623606	0.782156505	0.992056681	0.917684336	0.884334133	1.502805466	1.176249257	0.746891984	0.819181317	1.120433325	1.11146317	0.876647523	0.88225112	1.062959785	1.451529621	0.902171761	0.936900859	1.220124541	0.445053212	0.257281375	0.257281375	0.604344988	1.681284427	0.928224085	1.553311183	1.492940495	0.879119267	1.115489838	0.257281375	0.257281375	1.341129961	0.749906484	0.257281375	1.09064038	0.901518985	1.085249485	1.28652423	0.257281375	0.911611327	1.035543234	0.695212739	1	0.547670913	0.933541635	1.327319002	0.426276762	2.102947756	0.765895805	1.245267381	0.873383648	0.257281375	2.348662545	1.082983109	0.92299455	1.017287536	1.032022649	1.130070925	1.332343169	0.751696115	0.872393484	0.546644076	1.24871462	1.144182601	0.769973816	1.040406041	0.695249411	1.138997074	0.295281683	0.257281375	0.752884312	0.64252866	1.15889571	1.124107935	1.165614159	1.828833586	1.677741838	1.688890356
leucylglycine	0.609751887	0.92402442	0.996670626	0.470725754	0.447521083	1.257339199	1.408024273	0.712174716	2.347164371	2.514702927	0.288386626	0.893089261	0.714552167	0.746108104	0.921145063	1.090517652	1.382668575	0.948319699	1.101752049	1.216530073	0.793251437	0.768480668	0.862057872	1.124781242	1.003329374	0.469684205	0.7797962	2.982271956	2.230918366	0.703638537	0.915408992	0.288386626	1.043376206	1.660518945	0.952970822	0.835002109	1.794018448	1.554794101	0.882620932	1.929463309	0.288386626	1.093976276	0.57570906	0.827511253	1.517290763	0.730352778	1.397404994	0.979351088	1.008527688	2.535247118	0.65265732	0.844996835	0.619759821	0.288386626	1.358486507	0.716131473	1.336632832	1.84514118	3.015488335	0.840336277	0.867397701	0.517014337	0.288386626	0.526392059	1.817428787	1.200495491	1.380732651	1.39875599	1.528989329	2.364661275	0.66569556	0.532445123	0.663272825	1.171603807	1.1333778	0.724409152	2.179305049	2.853106582	1.810749284	3.022090477
2-O-methylascorbic acid	0.761767148	1.275019173	0.62512236	0.796094864	0.468366039	1.149897181	0.858793492	0.797390958	1.046869871	0.661138826	1.068988473	1.080401605	0.959188135	0.789257804	1.065504623	0.521590891	1.053147204	0.998241331	0.588436135	0.498962978	0.998746962	1.316347341	0.796308304	1.290987769	2.393991159	0.780361788	1.327119051	1.20963231	1.001253038	0.603985212	0.90482506	0.995529912	1.314993104	1.583360688	1.348143222	0.837486697	0.791887528	1.049319275	0.832113538	1.029199646	0.660826394	1.488070565	1.387030083	1.071489028	0.973591998	1.327747962	0.986445479	0.52989038	0.948609625	0.751245678	1.107812774	1.739221299	0.924000403	1.536637281	0.849669684	0.493446299	1.208377432	1.103490621	0.919727931	0.758861057	2.51740085	1.146115988	0.384974807	1.539641995	1.179435754	1.519902878	0.932390789	0.890749085	1.090244484	1.481660752	1.406218306	0.866968598	1.040217915	1.219117125	1.037947726	0.492220861	0.448769337	1.042808262	0.919210892	1.303716131
carboxyethyl-GABA	1.009890414	0.829757265	0.628175368	0.909237364	1.195909438	0.942387818	1.059735387	0.779113354	1.892419173	0.971075163	1.11898594	0.795262845	1.068615638	0.790259086	1.849926618	0.981154914	0.979314073	1.011952331	0.908107907	1.189404113	1.456965152	0.934825268	1.520978688	1.118123525	1.654893823	0.893823334	0.987841915	1.304284825	1.032691885	1.123547547	0.91801036	1.155389055	0.834480849	1.165157987	1.194674914	1.625306852	0.979003254	0.843571231	0.993729979	1.102569406	1.193672411	3.036596831	1.453064584	1.119189505	0.843389554	1.702790701	1.071115328	0.858790452	0.755777799	1.745990262	0.849960546	0.931093243	0.955052626	0.742640194	0.779684649	1.177768074	0.915000662	0.795569287	0.93140844	1.00652393	1.006270021	0.706263345	0.91564419	1.301275127	0.853066554	1.17808546	0.757596751	0.617607498	1.899441072	0.893177617	1.406421929	0.873026869	1.069795439	1.329487487	0.978283115	1.099529064	0.802258477	0.736907541	1.239770037	1.263523667
beta-citrylglutamate	0.934081007	0.899356321	0.869291681	1.35845517	0.492882826	0.671731816	1.426615825	0.882483364	1.409688492	0.940698599	1.612155815	0.971733855	1.074235843	1.224423102	0.928327998	1.112446049	1.131243925	0.729248316	1.086524881	1.235447891	0.912675788	0.857981417	0.64113157	1.417632865	1.464377426	0.545978535	0.794899506	1.113182847	0.895120409	0.688373674	1.028266145	0.719384461	0.843568986	1.394460417	0.525163299	0.382498997	1.319717515	0.94979303	0.762948009	1.035911448	0.808428322	1.440332239	2.172236836	0.830097266	1.295392291	0.860811702	1.292755042	0.518273825	0.796933178	1.552195102	0.752458827	2.038052514	0.636765156	1.257780225	1.173363784	0.954942463	0.858462647	1.224773829	0.785258593	0.766080083	1.837186572	0.741648824	0.886556147	1.114452533	2.02642143	1.481418949	1.115406836	1.467014675	1.292931765	3.037828212	1.48327318	0.92163156	1.822211347	1.752696723	0.915451697	0.931188189	0.866948064	1.450250471	1.833372076	1.570383964
trimethylamine N-oxide	1.503772301	1.999319854	0.329795837	1.82942047	0.503084366	1.016213517	0.094003637	0.709589457	0.985380216	0.518286559	1.205913896	0.818928097	1.257034272	0.523721626	0.736473969	2.239303908	2.591811402	1.780320896	0.768852004	0.552948953	0.44161074	0.96131858	1.498631092	0.688559336	3.126111433	0.657843065	3.188375964	1.007358115	0.604113985	1.566982664	1.403916387	0.865379427	1.420249256	1.311291723	2.342600196	0.710395857	0.706364581	0.525046838	0.679863339	1.274213988	0.347843745	0.98654619	1.991115756	0.810612822	0.34272878	0.992641885	0.214896347	0.577574342	0.305769785	1.181568145	4.3114151	0.517592947	0.393189719	0.705114661	11.92356436	1.979089088	2.183276266	1.221773094	0.845229068	0.923810622	1.048478898	1.238673608	0.571011987	0.674696407	1.702529962	2.169794511	2.946400183	2.897484581	2.152228659	0.814652331	1.14302018	2.373659156	0.401905922	1.198785456	1.634502583	1.199655191	0.251434258	0.72490038	1.010004817	1.347629917
N6-methyllysine	0.874442034	4.800950619	2.691391534	0.941821653	0.704351856	3.155143264	0.355182619	0.97330578	1.6494315	2.940072642	1.731609877	3.020332221	0.720912641	0.91934835	1.638852467	1.025689402	0.614149482	0.6308275	1.006891851	0.754949074	2.498719421	1.02953121	3.722229283	1.03418565	0.43154257	0.854752695	0.792435667	0.653967357	0.782870486	0.550482257	0.689025817	3.443684237	0.674014727	4.463694236	5.336901395	2.781096885	0.791616876	2.732222245	0.687729701	0.425648263	2.88872439	0.567504812	0.820672119	3.303621974	3.691701954	2.647159479	1.186803625	1.16980686	0.462583055	0.59946813	4.480885578	1.897887943	1.030452094	0.612966335	0.931412553	1.860375894	2.456373027	0.65041646	3.074346492	4.935507067	0.648961645	1.011188571	0.736117306	1.816943576	0.835310055	0.929142034	3.60212783	0.922674923	0.322281245	0.845174877	5.019857664	0.927931938	3.743280082	2.003700046	0.732127797	1.165711291	0.993108149	0.695597941	2.976879082	0.851334982
imidazole propionate	0.918938825	1.135379286	0.582671299	1.135783032	1.344535437	0.649731041	0.907751362	0.730932006	1.576927219	0.710458399	0.689635105	1.017461987	0.982538013	0.557816464	0.608814234	0.855928363	1.086014235	1.306688954	0.703470563	0.745498091	2.88400556	1.861169029	2.07099837	1.85303584	6.396543838	0.720264006	0.815836786	4.074686137	0.931721843	0.676068246	0.639247175	0.715611643	3.292063743	2.311402555	1.829967451	0.927520526	1.041641943	0.874104507	2.991101131	1.644918615	0.428670314	0.637830688	0.849914415	0.826745512	2.91000068	1.151310335	0.357345906	0.650952413	0.75090811	1.593952942	1.881944178	1.141392389	0.451035949	0.702909712	0.78247289	9.652403109	0.462742875	0.810638775	1.283088432	1.270718451	0.802036802	0.746732978	1.480402512	1.836243242	1.977477259	2.645423297	0.665488935	1.179406114	1.568963806	1.442729184	1.147310046	1.305120429	0.741609297	1.239819261	1.249694129	0.681213044	2.959431614	0.562554982	0.6702359	2.263594204
