old_specific_ACPA_neg_up	CPB2_3518-54	TNFSF18_2708-54	CNMD_9928-125	FAM221B_25493-11	RFNG_7203-125	STAT5A_20225-119	VTN_8280-238	ZPBP_8635-283	TALDO1_11347-9	TKFC_23644-19	OLFML3_8660-33	PRKRA_22010-36	IRF5_25460-36
young_specific_ACPA_neg_up	ANKRD1_15361-37	HYAL1_8309-12	MGAT2_6909-40	TAT_22078-4	DIRAS1_17793-4	SMURF2_13985-12	SORCS3_23034-13	CLN5_8874-53	F10_3077-66	NRG4_14139-16	ATF3_22075-16	LRRC37A2_8897-3	ZNF75D_11596-47	TNS2_11667-29	VSX1_24456-3	F10_4878-3
old_specific_ACPA_neg_down	MYOC_16558-2	PILRA_6402-8	FCGRT_21708-149	SERPINA3_2879-9	EFNA3_14153-8	IL12B|IL23A_10365-132	IL12B_13733-5	MATN4_7083-74	DLK1_6496-60
young_specific_ACPA_neg_down	NANS_17802-4	LTK_23181-2	MTPAP_9028-5	C11orf87_11116-16	PPP4R3A_10866-60	WNT10B_21940-12	ERO1A_7060-2	RFPL3_23375-4	DECR2_18343-10	FKBP4_17722-5	BEX5_22083-60	ANGPTL3_10391-1	PSMC3_23665-35	CBFB_10048-7	SNX15_23416-47	IGFBP3_2571-12	MTMR6_12536-46	IGF1_2952-75	CMPK1_18243-9	VCX_23426-1	UBE2N|UBE2V1_21747-114	PDE4C_20221-26	ANGPTL3_10382-1	MAP2K5_22041-26	SST_5957-30	IGBP1_12358-6	CSF2_4697-59	EVI2A_22560-1	SLITRK1_10743-13
