	crp	esr	das28crp	rf_tit	acpa_tit
ABCF3	.	*	.	.	.
CARD8	.	*	.	.	.
CKM	*	.	.	.	.
CT83	.	*	.	.	.
DNMT3L	.	.	.	*	.
DTYMK	*	.	.	.	.
DUSP18	.	.	.	*	.
ELK1	.	.	*	.	.
FGFR1OP	.	.	*	.	.
FUS	.	.	*	.	.
MEIS2	.	.	.	*	.
MLLT3	.	*	.	.	.
MPP1	.	.	.	*	.
NME8	.	.	.	*	.
PDGFRB	.	*	.	.	.
PDGFRB_ext	.	.	.	*	.
PHF11	.	.	*	.	.
S100A7	.	.	*	.	.
SH2B1	.	.	*	.	.
SMAD4	.	.	*	.	.
SUFU	.	*	.	.	.
TBCB	.	*	.	.	.
TOM1	.	.	*	.	.
TPM1	.	.	*	.	.
ZNF444	.	.	.	*	.
