	crp	esr	das28crp	rf_tit	acpa_tit
NAP1L4	0	0	-0.47466066113848343	0	0
NCK1	0	0	0	0	0
NCOA4	0	0	0	0	0
NCOA5	0	0	0	0	0
NDE1	0	0	0	0	0
NDRG1	0	0	0	0	0
NDRG2	0	0	0	0	0
NDUFAB1	0	0	0	0	0
NDUFV3	0	0	0	0	0
NEDD9	0	0	0	0	0
NEK11	0	0	0	0	0
NEK3	0	0	0	0	0
NEK7	0	0	0	0	0
NELFE	0	0	0	0	0
NEUROD1	0	0	0	0	0
NEUROD4	0	0	0	0	0
NF2	0	0	0	0	0
NFATC4	0	0	0	0	0
NFE2	0	0	0	0	0
NFE2L2	0	0	0	0	0
NFIA	0	0	0	0	0
NFIB	0	0	0	0	0
NFIL3	0	0	0	0	0
NFKBIA	0	0	0	0	0
NFX1	0.4906681489059472	0	0	0	0
NFYA	0	0	0	0	0
NFYB	0	0	0	0	0
NHLH1	0	0	0	0	0
NICN1	0	0	0	0	0
NIM1K	0	0	0	0	0
NKX2.5	0	0	0	0	0
NLK	0	0	0	0	-0.474491362981188
NLRP2	0.4489885339801541	0	0	0	0
NLRP4	0	0	0	0	0
NME4	0	0	0	0	0
NME5	0	0	0	0	0
NME6	0	0	0	0	0
NME7	0	0	0	0	0
NME8	0	0	0	0	0
NMRAL1	0	0	0	0	0
NOL4	0	0	0	0	0
NPM1	0	0	0	0	0
NPY5R	0	0	0	0	0
NR0B2	0	0	0	0	0
NR1D2	0	0	0	0	0
NR1H2	0	0	0	0	0
NR1I2	0	0	0	0	0
NR2C1	0	0	0	0	0
NR2C2	0	0	0	0	0
NR2E1	0	0	0	0	0
NR2E3	0	0	0	0	0
NR3C1	0	0	0	0	0
NR4A1	0	0	0	0	0
NR4A2	0	0	0	0	0
NR6A1	0	0	0	0	0
NRAS	0	0	0	0	0
NRBF2	0	0	0	0	0
NRBP2	0	0	0	0	0
NRF1	0	0	0	0	0
NRIP1	0	0	0	0	0
NRIP3	0	0	0	0	0
NSF	0	0	0	0	0
NTPCR	0	0	0	0	0
NTRK3_ext	0	0	0	0	0
NUAK2	0	0	0	0	0
NUBP2	0	0	0	0	0
NUCB1	0	0	0	0	0
NUDT2	0	0	0	0	0
NUF2	0	0	0	0	0
NUP50	0	0	0	0	0
NXF2	0	0	0	0	0
NXF2B	0	0	0	0	0
OAS2	0	0	0	0	0
ODC1	0	0	0	0	0
ODF1	0	0	0	0	0
ODF2	0	0	0	0	0
ODF3	0	0	0	0	0
OGG1	0	0	0	0	0
OIP5	0	0	0	0	0
OLIG3	0	0	0	0	0
OSBPL9	0	0	0	0	0
OTOA	0	0	0	0	0
OVOL1	0	0	0	0	0
OXSR1	0	0	0	0	0
P3H4	0	0	0	0	0
P4HB	0	0	0	0	0
PABPC1	0	0	0	0	0
PACSIN3	0	0	0	0	0
PAGE1	0	0	0	0	0
PAGE2B	0	0	-0.42084049626413994	0	0
PAGE5	0	0	-0.44632801927732024	0	0
PAK2	0	0	0	0	0
PAK4	0	0	0	0	0
PAK5	0	0	0	0	0
PAK6	0	0	0	0	0
PANK3	0	0	0	0	0
PAPSS2	0	0	0	0	0
PASD1	0	0	0	0	0
PATZ1	0	0	0	0	0
PAX3	0	0	0	0	0
PAX5	0	0	0	0	0
PAX8	0	0	0	0	0
PBX1	0	0	0	0	0
PBX3	0	0	0	0	0
PC	0	0	0	0	0
PCBD1	0	0	0	0	0
PCBP2	0	0	0	0	0
PCGF2	0	0	0	0	0
PCK2	0	0	0	0	0
PCLAF	0	0	0	0	0
PDCD2L	0	0	0	0	0
PDCD5	0	0	0	0	0
PDCD6	0	0	0	0	0
PDCL3	0	0	0	0	0
PDE4A	0	0	0	0	0
PDGFB	0	0	0	0	-0.5543711485760282
PDGFRA_ext	0	0	-0.42136463409148844	0	0
PDGFRB	0	0	0	0	0
PDGFRB_ext	0	0	0	0	0
PDGFRL	0	0	0	0	0
PDIK1L	0	0	0	0	0
PDK1	0	0	0	0	0
PDK2	0	0	0	0	0
PDK3	0	0	0	0	0
PDK4	0	0	0	0	0
PDPK1	0	0	0	0	0
PDXK	0	0	0	0	0
PEBP1	0	0	0	0	0
PELO	0	0	0	0	0
PFKFB3	0	0	0	0	0
PFKFB4	0	0	0	0	0
PFKP	0	0	0	0	0
PFN2	0	0	0	0	0
PHB2	0	0	0	0	0
PHF1	0	0	0	0	0
PHF11	0	0	0	0	0
PHF5A	-0.44868724067432886	0	0	-0.5279223695735924	0
PHF7	0	0	0	0	0
PHIP	0	0	0	0	0
PHKG1	0	0	0	0	0
PHKG2	0	0	0	0	0
PHLDA1	0	0	0	0	0
PHLDA2	0	0	0	0	0
PHTF1	0	0	0	0	0
PI42B	0	0	0	0	0
PIAS2	0	0	0	0	0
PIDD1	0	0	0	0	0
PIK3C3	0	0	0	0	0
PIK3R1	0	0	0	0	0
PIM1	0	0	0	0	0
PIM2	0	0	0	0	0
PIN1	0	0	0	0	0
PIP	0	0	0	0	0
PIP4K2C	0	0	0	0	0
PIP5K1B	0	0	0	0	0
PIR	0	0	0	0	0
PITRM1	0	0	0	0	0
PITX2	0	0	0	0	0
PIWIL2	0	0	0	0	0
PKDCC	0	0	0	0	0
PKLR	0	0	0	0	0
PKM	0	0	0	0	0
PKMYT1	0	0	0	0	0
PKNOX1	0	0	0	0	0
PLAC1	0	0	0	0	0
PLAGL2	0	0	0	0	0
PLD2	0	0	0	0	0
PLEKHA5	0	0	0	0	0
PLK1	0	0	0	0	0
PLK2	0	0	0	0	0
PLK4	0	0	0	0	0
PMEL	0	0	0	0	0
PMF1	0	0	0	0	0
PMVK	0	0	0	0	0
PNPT1	0	0	0	0	0
PO2F2	0	0	0	0	0
POLR2I	0	0	0	0	0
POMK	0	0	0	0	0
POTEE	0	0	0	0	0
POTEH	0	0	0	0	0
POU2AF1	0	0	0	0	0
POU5F1	0	0	0	0	0
PPARD	0	0	0	0	0
PPARG	0	0	0	0	0
PPIC	0	0	0	0	0
PPID	0	0	0	0	0
PPM1A	0	0	0	0	0
PPP1CB	0	0	0	0	0
PPP1R14A	0	0	0	0	0
PPP1R2P9	0	0	0	0	0
PPP2CB	0	0	0	0	0
PPP2R1A	0	0	0	0	0
PPP2R1B	0	0	0	-0.5318917106982058	0
PPP2R2B	0	0	0	0	0
PPP2R2C	0	0	0	0	0
PPP2R5A	0	0	0	0	0
PPP2R5C	0	0	0	0	0
PPP3CA	0	0	0	0	0
PPP3CC	0	0	0	0	0
PPP3R1	0	0	0	0	0
PPP4C	0	0	0	0	0
PPP4R1	0	0	0	0	0
PQBP1	0	0	0	0	0
PRAME	0	0	0	0	0
PRC1	0	0	0	0	0
PRCC	0	0	0	0	0
PRDM4	0	0	0	0	0
PRDX1	0	0	0	0	0
PRDX6	0	0	0	-0.5672593494417564	0
PRELID1	0	0	0	0	0
PRKAA1	0	0	0	0	0
PRKAA2	0	0	0	0	0
PRKACA	0	0	0	0	0
PRKACB	0	0	0	0	0
PRKACG	0	0	0	0	0
PRKAG3	0	0	0	0	0
PRKAR1A	0	0	0	0	0
PRKCB	0	0	0	0	0
PRKCH	0	0	0	0	0
PRKCI	0	0	0	0	0
PRKCZ	0	0	0	0	0
PRKD2	0	0	0	0	0
PRKD3	0	0	0	0	0
PRKRA	0	0	0	0	0
PRKX	0	0	0	0	0
PRL	0	0	0	0	0
PRM1	0	0	0	0	0
PRM2	0	0	0	0	0
PRPF4	0	0	0	0	0
PRPS2	0	0	0	0	0
PRSS50	0	0	0	0	0
PRSS54	0	0	0	0	0
PSCA	0	0	0	0	0
PSG1	0	0	0	0	0
PSG11	0	0	0	0	0
PSIP1	0	0	0	0	0
PSMA6	0	0	0	0	0
PSMB10	0	0	0	0	0
PSMB3	0	0	0	0	0
PSMB8	0	0	0	0	0
PSMB9	0	0	0	0	0
PSMD4	0	0	0	0	0
PSMD9	0	0	0	0	0
PSME1	0	0	0	0	0
PSME2	0	0	0	0	0
PSME3	0	0	0	0	0
PTEN	0	0	0	0	0
PTGDR	0	0	0	0	0
PTGER3	0	0	0	0	0
PTK2_iso1	0	0	0	0	0
PTK2_iso2	0	0	0	0	0
PTK6	0	0	0	0	0
PTK7_ext	0	0	0	0	0
PTK7_int	0	0	0	0	0
PTP4A1	0	0	0	0	0
PTP4A2	0	0	0	0	0
PTP4A3	0	0	0	0	0
PTPA	0	0	0	0	0
PTPN1	0	0	0	0	0
PTPN11	0	0	0	0	0
PTPN2	0	0	0	0	0
PTPN20	0	0	0	0	0
PTPN22	0	0	0	0	0
PTPN4	0	0	0	0	0
PTPN6	0	0	0	0	0
PTRH1	0	0	0	0	0
PTTG1IP	0	0	0	0	0
PXK	0	0	0	0	0
PXN	0	0	0	0	0
PYCR1	0	0	0	0	0
PYGB	0	0	0	0	0
PYGO2	0	0	0	0	0
RAB38	0	0	0	0	0
RABEP1	0	0	0	0	0
RABL6	0	0	0	0	0
RAC1	0	0	0	0	0
RAC2	0	0	0	0	0
RAD21	0	0	0	0	0
RAD23A	0	0	0	0	0
RAD23B	0	0	0	0	0
RAD51	0	0	0	0	0
RAD51B	0	0	0	0	0
RAD51D	0	0	0	0	0
RAF1	0	0	0	0	0
RAG1	0	0	0	0	0
RALBP1	0	0	0	0	0
RAN	0	0	0	0	0
RAP1GDS1	0	0	0	0	0
RAPGEF4	0	0	0	0	0
RARA	0	0	0	0	0
RARB	0	0	0	0	0
RB1	0	0	0	0	0
RBKS	0	0	0	0	0
RBM28	0	0	0	0	0
RBM46	0	0	0	0	0
RBM6	0	0	0	0	0
RBM7	0	0	0	0	0
RBMS1	0	0	0	0	0
RBPJ	0	0	0	0	0
RCAN1	0	0	0	0	0
RCC2	0	0	0	0	0
REG3A	0	0	0	0	0
RERG	0	0	0	0	0
RET	0	0	0	0	0
RET_ext	0	0	0	0	0
RET_int	0	0	-0.42942675989852874	0	0
REXO4	0	0	0	0	0
RFK	0	0	-0.4748977543758154	0	0
RFX3	0	0	0	0	0
RGS5	0	0	0	0	0
RHOA	0	0	0	0	0
RHOB	0	0	0	0	0
RHOH	0	0	0	0	0
RHOT2	0	0	0	0	0
RHOXF2	0	0.5054834406788283	0	0	0
RIDA	0	0	0	0	0
RING1	0	0	0	0	0
RIOK2	0	0	0	0	0
RIOK3	0	0	0	0	0
RIPK1	0	0	0	0	0
RIPK2	0	0	0	0	0
RNASEL	0	0	0	0	0
RNF38	0	0	0	0	0
RNF40	0	0	0	0	0
RNF6	0	0	0	0	0
RNF7	0	0	0	0	0
RNGTT	0	0	0	0	0
ROPN1	0	0	0	0	0
RORC	0	0	0	0	0
RPA2	0	0	0	0	0
RPL10	0	0	0	0	0
RPL10A	0	0	0	0	0
RPL11	0	0	0	0	0
RPL13A	0	0	0	0	0
RPL15	0	0	0	0	0
RPL17	0	0	0	0.47656901877390556	0
RPL18	0	0	0	0	0
RPL18A	0	0	0	0	0
RPL22	0	0	0	0	0
RPL27A	0	0	0	0	0
RPL30	0	0	0	0	0
RPL31	0	0	0	0	0
RPL32	0	0	0	0	0
RPL34	0	0	0	0	0
RPL37A	0	0	0	0	0
RPL5	0	0	0	0	0
RPL7A	0	0	0	0	0
RPLP1	0	0	0	0	0
RPS15A	0	0	0	0	0
RPS2	0	0	0	0	0
RPS27A	0	0	0	0	0
RPS6KA1	0	0	0	0	0
RPS6KA2	0	0	0	0	0
RPS6KA3	0	0	0	0	0
RPS6KA4	0	0	0	0	0
RPS6KA5	0	0	0	0	0
RPS6KA6	0	0	0	0	0
RPS6KB1	0	0	0	0	0
RPS6KB2	0	0	0	0.5331977985970636	0
RPS6KL1	0	0	0	0	0
RPS7	0	0	0	0	0
RRAGC	0	0	0	0	0
RRAS	0	0	0	-0.5567000927270401	0
RRAS2	0	0	0	-0.5232087769881139	0
RTFDC1	0	0	0	0	0
RUFY1	0	0	0	0	0
RUNX1T1	0	0	0	0	0
RUVBL1	0	0	0	0	0
RXRB	0	0	0	0	0
S100A6	0	0	0	0	0
S100A7	0	0	-0.4377926627333715	0	0
S100A8	0	0	0	0	0
S100A9	0	0	0	0	0
S100P	0	0	0	0	0
SAGE1	0	0	0	0	0
SAV1	0	0	0	0	0
SBDS	0	0	0.4646075441716534	0	0
SCAND1	0	0	0	0	0
SCEL	0	0	0	0	0
SCFD1	0	0	0	0	0
SCGB1D2	0	0	0	0	0
SCMH1	0	0	0.43210242503740565	0	0
SCP2	0	0	0	0	0
SCYL3	0	0	0	0	0
SDCCAG3	0	0	0	0	0
SDCCAG8	0	0	0	0	0
SDHB	0	0	0	0	-0.4807248066852805
SDHC	0	0	0	0	0
SEC14L2	0	0	0	0	0
SECISBP2	0	0	0	0	0
SEMG1	0	0	0	0	0
SEPTIN4	0	0	0	0	0
SEPTIN5	0	0	0	0	0
SEPTIN6	0	0	0	0	0
SEPTIN9	0	0	0	0	0
SERPINB5	0	0	0	0	0
SERPINE2	0	0	0	0	0
SERPINF2	0	0	0	0	0
SET	0	0	0	0	0
SFN	0	0	0	0	0
SGK1	0	0	0	0	0
SGK2	0	0	0	0	0
SGK3	0	0	0	0	0
SGO1	0	0	0	0	0
SGSM3	0	0	0	0	0
SH2B1	0	0	0	0	0
SH2D1A	0	0	0	0	0
SH3BGRL3	0	0	0	0	0
SH3GL1	0	0	0	0	0
SH3GLB1	0	0	0	0	0
SHPK	0	0	0	0	0
SIAH1	0	0	0	0	0
SIK2	0	0	0	0	0
SIVA1	0	0	0	0	0
SIX1	0	0	0	0	0
SKAP1	0	0	0	0	0
SLA	0	0	0	0	0
SLA2	0	0	0	0	0
SLC25A6	0	0	0	0	0
SLCO6A1	0	0	0	0	0
SMAD2	0	0	0	0	0
SMAD4	0	0	0	0	0
SMAD5	0	0	0	0	0
SMAD9	0	0	0	0	0
SMARCD1	0	0	0	0	0
SMN2	0	0	0	0	0
SNCA	0	0	0	0	0
SNX6	0	0	0	0	0
SOCS2	0	0	0	0	0
SOCS3	0	0	0	0	0
SOCS5	0	0	0	0	0
SOCS6	0	0	0	0	0
SOD1	0	0	0	0	0
SOD2	0	0	0	0	0
SORD	0	0	0	0	0
SOX10	0	0	0	0	0
SOX15	0	0	0	0	0
SOX2	0	0	0	0	0
SP1	0	0	0	0	0
SP110	0	0	0	0	0
SP2	0	0	0	0	0
SPA17	0	0	0	0	0
SPAG4	0	0	0	0	0
SPAG9	0	0	0	0	0
SPANXN1	0	0	0	0	0
SPANXN2	0	0	0	0	0
SPANXN4	0	0	0	0	0
SPARC	0	0	0	0	0
SPARCL1	0	0	0	0	0
SPATA19	0	0	0	0	0
SPATA25	0	0	0	0	0
SPDEF	0	0	0	0	0
SPEG	0	0	0	0	0
SPG20	0	0	0	0	0
SPIB	0	0	0	0	0
SPIC	0	0	0	0	0
SPO11	0	0	0	0	0
SQSTM1	0	0	0	0	0
SRM	0	0	0	0	0
SRP19	0	0	0	0	0
SRPK1	0	0	0	0	0
SRPK2	0	0	0	0	0
SRPX2	0	0	0	0	0
SRSF5	0	0	0	0	0
SS18L1	0	0	0	0	0
SSB	0	0	0	0	0
SSBP4	0	0	0	0	0
SSNA1	0	0	0	0	0
SSX1	0	0	0	0	0
SSX2	0	0	0	0	0
SSX2b	0	0	0	0	0
SSX3	0	0	0	0	0
SSX4	0	0	0	0	0
SSX4B	0	0	0	0	0
SSX5	0	0	0	0	0
SSX7	0	0	0	0	0
STAM	0	0	0	-0.47880177315650063	0
STAM2	0	0	0	0	0
STAP1	0	0	0	0	0
STARD7	0	0	0	0	0
STAT1	0	0	0	0	0
STAT3	0	0	0	0	0
STAT4	0	0	0	-0.5251934475504206	0
STAT5A	0	0	0	0	0
STAU1	0	0	0	0	0
STIP1	0	0	0	0	0
STK10	0	0	0	0	0
STK11	0	0	0	0	0
STK16	0	0	0	0	0
STK17B	0	0	0	-0.49765614349841464	0
STK24	0	0	0	0	0
STK25	0	0	0	0	0
STK26	0	0	0	0	0
STK3	0	0	0	0	0
STK32A	0	0	0	0	0
STK32B	0	0	0	0	0
STK32C	0	0	0	0	0
STK33	0	0	0	0	0
STK38	0	0	0	0	0
STK38L	0	0	0	0	0
STK4	0	0	0	0	0
STKLD1	0	0	0	0	0
STMN1	0	0	0	0	0
STRADA	0	0	0	0	0
STRADB	0	0	0	0	0
STUB1	0	0	0	0	0
STYX	0	0	0	0	0
STYXL1	0	0	0	0	0
SUB1	0	0	0	0	0
SUCLA2	0	0	0	0	0
SUFU	0	0	0	0	0
SUMO2	0	0	0	0	0
SUPT20H	0	0	0	0	0
SUPT4H1	0	0	0	0	0
SYCE1	0	0	0	0	0
SYCP1	0	0	0	0	0
SYK	0	0	0	0	0
TACC1	0	0	0	0	0
TACSTD2	0	0	0	0	0
TADA2A	0	0	0.48360898774878486	0	0
TADA3	0	0	0	0	0
TAF5L	0	0	0	0	0
TAF6L	0	0	0	0	0
TAF7L	0	0	0	0	0
TAF9	0	0	0	0	0
TAGLN	0	0	0	0	0
TAOK3	0	0	0	0	0
TARDBP	0	0	0.4542059406878144	0	0
TBC1D2	0	0	0	0	0
TBC1D5	0	0	0	0	0
TBCB	0	0	0	0	0
TBK1	0	0	0	0	0
TBL1X	0	0	0	0	0
TBPL1	0	0	0	0	0
TBX5	0	0	0	0	0
TBX6	0	0	0	0	0
TCEA2	0	0	0	0	0
TCEAL1	0	0	0	0	0
TCF12	0	0	0	0	0
TCF21	0	0	0	0	0
TCF4	0	0	0	0	0
TCL1A	0	0	0	0	0
TDP2	0	0	0	0	0
TDRD1	0	0	0	0	0
TDRD3	0	0	0	0	0
TDRKH	0	0	0	0	0
TEAD2	0	0	0	0	0
TEAD3	0	0	0	0	0
TEK	0	0	0	0	0
TERT	0	0	0	0	0
TEX101	0	0	0	0	0
TEX14	0	0	0	0	0
TFAP4	0	0	0	0	0
TFCP2	0	0	0	0	0
TFCP2L1	0	0	0	0	0
TFDP1	0	0	0	0	0
TFDP2	0	0	0	0	0
TFDP3	0	0	0	0	0
TFEB	0	0	0	0	0
TFEC	0	0	0	0	0
TFG	0	0	0	0	0
TFPT	0	0	0	0	0
TFRC	0	0	0	0	-0.47356332734529294
TGFBR2	0	0	0	0	0
TGIF1	0	0	0	0	0
TGIF2	0	0	0	0	0
THEG	0	0	0	0	0
THRA	0	0	0	0	0
THRB	0	0	-0.44481327800829873	0	0
THUMPD1	0	0	0	0	0
TIE1_ext	0	0	0	0	0
TIE1_int	0	0	0	0	0
TIMP3	0	0	0	0	0
TIRAP	0	0	0	0	0
TK1	0	0	0	0	0
TKT	0	0	0	0	0
TLK1	0	0	0	0	0
TLK2	0	0	0	0	0
TLX2	0	0	0	0	0
TMEFF1	0	0	0	0	0
TMEFF2	0	0	0	0	0
TMEM108	0	0	0	0	0
TNFAIP6	0	0	0	0	0
TNFAIP8	0	0	0	0	0
TNFRSF11B	0	0	0	0	0
TNIP1	0	0	0	0	0
TNK2	0	0	0	0	0
TOLLIP	0	0	0	0	0
TOM1	0	0	0	0	0
TP53	0	0	0	0	0
TP53RK	0	0	0	0	0
TP63	0	0	0	0	0
TP73	0	0	0	0	0
TPI1	0	0	0	0	0
TPM1	0	0	0	0	0
TPM3	0	0	0	0	0
TPM4	0	0	0	0	0
TPTE	0	0	0	0	0
TRAF1	0	0	0	0	0
TRAF2	0	0	0	-0.563150272054537	0
TRAF3IP1	0	0	0	0	0
TRAF4	0	0	0	0	0
TRAF5	0	0	0	0	0
TRAF6	0	0	0	0	0
TRAIP	0	0	0	0	0
TRIB2	0	0	0	0	0
TRIB3	0	0	0	0	0
TRIM32	0	0	0	0	0
TRIM37	0	0	0	0	0
TRIP11	0	0	0	0	0
TRMT10C	0	0	0	0	0
TROVE2	0	0	0	0	0
TSC22D1	0	0	0	0	0
TSC22D4	0	0	0	0	0
TSG101	0	0	0	0	0
TSGA10	0	0	0	0	0
TSPY1	0	0	0	0	0
TSPY2	0	0	0	0	0
TSPY3	0	0	0	0	0
TSSK1B	0	0	0	0	0
TSSK2	0	0	0	0	0
TSSK3	0	0	0	0	0
TSSK6	0	0	0	0	0
TTBK2	0	0	0	0	0
TTF2	0	0	0	0	0
TTK	0	0	0	0	0
TUBA4A	0	0	0	0	0
TUBB	0	0	0	0	0
TUBGCP3	0	0	0	0	0
TULP2	0	0	0	0	0
TWF1	0	0	0	0	0
TWF2	0	0	0	0	0
TWIST2	0	0	0	0	0
TXN2	0	0	0	0	0
TXNRD1	0	0	0	0	0
TYMS	0	0	0	0	0
TYRO3	0	0	0	0	0
TYRO3_int	0	0	0	0	0
TYRP1	0	0	0	0	0
UBA1	0	0	0	0	0
UBA3	0	0	0	0	0
UBE2I	0	0	0	0	0
UBE2Q1	0	0	0	0	0
UBE2V1	0	0	0	0	0
UBP1	0	0	0	0	0
UCHL3	0	0	-0.4280972139893302	0	0
UCKL1	0	0	0	0	0
UHMK1	0	0	0	0	0
ULK2	0	0	0	0	0
ULK4	0	0	0	0	0
UQCRC1	0	0	0	0	0
USF1	0	0	0	0	0
USF2	0	0	0	0	0
USH1C	0	0	0	0	0
USP10	0	0	0	0	0
UTP14A	0	0	0	0	0
UXT	0	0	0	0	0
VAV1	0	0	0.4882935222850683	0	0
VAX2	0	0	0	0	0
VCL	0	0	0	0	0
VDR	0	0	0	0	0
VEGFB	0	0	0	0	0
VEGFD	0	0	0	0	0
VGLL1	0	0	0	0	0
VHL	0	0	0	0	0
VIM	0	0	0	0	0
VPS45	0	0	0	0	0
VPS4A	0	0	0	0	0
VPS54	0	0	0	0	0
VPS72	0	0	0	0	0
VRK3	0	0	0	0	0
WAS	0	0	0	0	0
WDR45B	0	0	0	0	0
WDR46	0	0	0	0	0
WISP3	0	0	0	0.48115305274171716	0
WT1	0	0	0	0	0
WWOX	0	0	0	0	0
WWTR1	0	0	0	0	0
XAGE1A	0	0	0	0	0
XAGE2	0	0	0	0	0
XAGE4	0	0	0	0	0
XBP1	0	0	0	0	0
XIAP	0	0	0	0	0
XYLB	0	0	0	0	0
YARS	0	0	0	0	0
YEATS4	0	0	0	0	0
YTHDF2	0	0	0	0	0
YWHAE	0	0	0	0	0
YWHAG	0	0	0	0	0
ZAP70	0	0	0	0	0
ZBTB16	0	0	0	0	0
ZBTB25	0	0	0	0	0
ZBTB32	0	0	0	0	0
ZBTB7B	0	0	0	0	0
ZC4H2	0	0	0	0	0
ZFP36L1	0	0	0	0	0
ZHX2	0	0	0	0	0
ZKSCAN1	0	0	0	0	0
ZKSCAN3	0	0	0	0	0
ZKSCAN4	0	0	0	0.49070979653034114	0
ZKSCAN5	0	0	0	0	0
ZMAT2	0	0	0	0	0
ZMAT3	0	0	0	0	0
ZMYM2	0	0	0	0	0
ZMYND11	0	0	0	0	0
ZMYND8	0	0	0	0	0
ZNF136	0	0	0	0	0
ZNF165	0	0	0	0	0
ZNF169	0	0	0	0	0
ZNF174	0	0	0	0	0
ZNF19	0	0	0	0	0
ZNF202	0	0	0	0	0
ZNF207	0	0	0	0	0
ZNF256	0	0	0	0	0
ZNF274	0	0	0	0	0
ZNF276	0	0	0	0	0
ZNF277	0	0	0	0	0
ZNF282	0	0	0	0	0
ZNF3	0	0	0	0	0
ZNF323	0	0	0	0	0
ZNF331	0	0	0	0	0
ZNF346	0	0	0	0	0
ZNF35	0	0	0	0	0
ZNF354A	0	0	0	0	0
ZNF37A	0	0	0	0	0
ZNF384	0	0	0	0	0
ZNF394	0	0	0	0	0
ZNF398	0	0	0	0	0
ZNF41	0	0	0	0	0
ZNF444	0	0	0	0	0
ZNF449	0	0	0	0	0
ZNF496	0	0	0	0	0
ZNF593	0	0	0	0	0
ZNF645	0	0	0	0	0
ZNF70	0	0	0	0	0
ZNHIT3	0	0	0	0	0
ZNRD1	0	0	0	0	0
ZSCAN12	0	0	0	0	0
ZSCAN16	0	0	0	0	0
ZSCAN18	-0.4758007192783255	0	0	0	0
ZSCAN21	0	0	0	0	0
ZSCAN26	0	0	0	0	0
ZSCAN9	0	0	0	0	0
