	crp	esr	das28crp	rf_tit	acpa_tit
CD96	0	0	0	0.5165105138403286	0
CDC20	0	0	0	0	0
CDC25A	0	0	0	0	0
CDC25C	0	0	0	0	0
CDC42	0	0	0	0	0
CDH19	0	0	0	0	0
CDK1	0	0	0	0	0
CDK10	0	0	0	0	0
CDK11B	0	0	0	0	0
CDK14	0	0	0	0	0
CDK16	0	0	0	0	0
CDK17	0	0	0	0	0
CDK18	0	0	0	0	0
CDK19	0	0	0	0	0
CDK2	0	0	0	0	0
CDK20	0	0	0	0	0
CDK3	0	0	0	0	0
CDK4	0	0	0	0	0
CDK5	0	0	0	0	0
CDK5R1	0	0	0	0	0
CDK7	0	0	0	0	0
CDK8	0	0	0	0	0
CDK9	0	0	0	0	0
CDKN1A	0	0	0	0	0
CDKN2A	0	0	0	0	0
CDKN2B	0	0	0	0	0
CDKN2C	0	0	0	0	0
CDKN2D	0	0	0	0	0
CDO1	0	0	-0.43447335741072474	0	0
CEACAM1	0	0	0	0	0
CEACAM7	0	0	0	0	0
CEACAM8	0	0	0	0	0
CEBPG	0	0	0	0	0
CEP55	0	0	0	0	0
CERS2	0	0	0	0	0
CFL1	0	0	0	0	0
CHEK1	0	0	0	0	0
CHEK2	0	0	0	0	0
CHI3L1	0	0	0	0.48550003630428584	0
CHIC2	0	0	0	0	0
CHMP3	0	0	0	0	0
CHN1	0	0	0	0	0
CHST4	0	0	0	0	0
CIDEB	0	0	0	0	0
CIDEC	0	0	0	0	0
CISH	0	0	0	0	0
CITED1	0	0	0	0	0
CKB	0	0	0	0	0
CKM	0	0	0	0	0
CKMT2	0	0	0	0	0
CKS1B	0	0	0	0	0
CLK1	0	0	0	0	0
CLK2	0	0	0	0	0
CLK3	0	0	0	0	0
CLUAP1	0	0	0	0	0
CMC4	0	0	0	0	0
CMPK1	0	0	0	0	0
CNN1	0	0	0	0	0
CNOT2	0	0	0	0	0
CNOT8	0	0	0	0	0
CNOT9	0	0	0	0	0
CNRIP1	0	0	0	0	0
COL4A3BP	0	0	0	0	0
COMMD3	0	0	0	0	0
COPG2	0	0	0	0	0
COPS6	0	0	0	0	0
COQ8A	0	0	0	0	0
COQ8B	0	0	0	0	0
COTL1	0	0	0	0	0
COX6B2	0	0	0	0	0
COX6C	0	0	0	0	0
CPA4	0	0	0	0	0
CPM	0	0	0	0	0
CPXCR1	0	0	0	0	0
CRADD	0	0	0	0	0
CREB1	0	0	0	0	0
CREB5	0	0	0	0	0
CRISP2	0	0	0	0	0
CROT	0	0	0	0	0
CRX	0	0	0	0	0
CRYAB	0	0	0	0	0
CSAG1	0	0	0	0	0
CSAG2	0	0	0	0	0
CSK	0	0	0	0	0
CSNK1D	0	0	0	0	0
CSNK1G1	0	0	0	0	0
CSNK1G2	0	0	0	0	0
CSNK2A1	0	0	0	0	0
CSNK2A2	0	0	0	0	0
CSRNP1	0	0	0	0	0
CST4	0	0	0	0	0
CSTB	0	0	0	0	0
CT45A1	0	0	0	0	0
CT47A1	0	0	0	0	0
CT55	0	0	0	0	0
CT62	0	0	0	0	0
CT83	0	0	0	0	0
CTAG1A	0	0	0	0	0
CTAG2	0	0	0	0	0
CTAGE1	0	0	0	0	0
CTAGE5	0	0	0	0	0
CTBP2	0	0	0	0	0
CTCFL	0	0	0	0	0
CTNNA2	0	0	0	0	0
CTNNB1	0	0	0	0	0
CTNNBL1	0	0	0	0	0
CTSD	0	0	0	0	0
CTSE	0	0	0	0	0
CTTN	0	0	0	0	0
CUL4A	0	0	0	0	0
CUL5	0	0	0	0	0
CWC27	0	0	0	0	0
CXCR2	0	0	0	0	0
CXCR4	0	0	0	0	0
CXCR6	0	0	0	0	0
CXXC1	0	0	0	0	0
CYCS	0	0	0	0	0
CYLD	0	0	0	0	0
CYP1B1	0	0	0	0.4920108118278163	0
DAPK1	0	0	0	0	0
DAPK2	0	0	0	0	0
DBNL	0	0	0	0	0
DCAF12	0	0	0	0	0
DCBLD2	0	0	0	0	0
