CLMP
COL28A1
HHIP
NUP98
DSC2
ATP1B1
CFD
SPARCL1
IGFBP6
SERPINA4
CCL15
CFL2
SERPINB5
GM2A
LRP11
RBP4
SLITRK6
SSBP1
CCL15
PPIC
HDGFL3
IHH
EFNA1
DHODH
ST8SIA1
METRNL
FAM110A
MAPK6
BORCS5
PSENEN
TKFC
CLIC3
CST3
IGFBP6
MMP7
LGALS2
TGFBI
CNTN5
FSTL3
CCL15
CGA|TSHB
CADM3
A2M
CA3
EPHA5
PSMD7
COLEC11
MFGE8
ADAMTS15
NAMPT
EPHA10
RTN4R
CD200
ROBO3
TNXB
NELL2
NPS
PSG3
EDN1
CRELD1
SERPINF1
RBP4
SPINK9
MASP1
CHGB
NOTUM
HYAL1
HGFAC
BAMBI
COL15A1
SERPINF1
VIT
MMP16
