GNRH2
HS3ST5
EFCAB14
LRRK2
DNER
OTUB2
BRDT
KCNF1
PYDC1
TMEM167B
TNFAIP3
KLK5
RXFP1
NRG4
EDN3
HEXB
MPZL1
ARG2
CRIP1
TRIAP1
COMT
PSMA3
TCEAL8
OSTM1
TEN1
DUSP19
CUEDC1
PTPMT1
ANKRA2
C4A|C4B
PELI1
PHF6
TRIM40
ZCCHC18
GAGE2D
MAPRE3
TIMM13
NUDT11
AIPL1
ATF5
KLHL40
GDPD1
NDRG2
HES6
EMC10
MAGIX
DAXX
PRX
FAM221B
FCGBP
FTH1
TBP
FETUB
MATK
FST
XCL1
PLG
KLKB1
IL11
PSG8
DEFB1
MGAT2
NT5E
TMPRSS11A
KNG1
SIGLEC12
CDHR1
MUC1
PARK7
CNMD
CDHR5
