RBM23
MET
NTMT1
RPL30
H1-10
ZNF329
UBTD2
SAP30
SECTM1
REG1A
HK2
CFD
H2BC21
H2AW
S100A10
CFL2
ALAD
VIM
CD320
SH3GLB1
BLVRB
AGR3
TCL1B
SEPTIN3
PPIC
H2BU1
HDGFL3
SUB1
JPT1
IHH
EFHD1
MNDA
EFNA1
RNGTT
COQ9
SVBP
MMACHC
RPL11
METRNL
H2AC1
H2AC11
SPI1
H2BC21
HMGB2
TKFC
GRM4
C12orf65
CTSG
ZNF580
CCL20
GIMAP7
GIMAP4
CLIC3
CFDP1
SPIN3
GFRA3
DDI2
LDB1
PRKCZ
TNFRSF17
CCL14
PLA2G10
H1-2
TMPRSS15
CNTN5
THBS4
ABL1
GZMH
FSTL3
GZMA
B2M
BSG
BMP10
CLEC7A
GNS
IL22RA1
A2M
PROC
PTGS2
H2AZ1
FGF12
IFNL2
CHST6
CA1
NAMPT
IL1RAPL2
IL7R
HMGCR
NPPA
TNFRSF10B
NETO1
RNASE4
STMN4
DLK1
CCN5
EDN1
DLK1
B4GALT3
GCNT1
RFNG
CELF2
SPTLC2
ATP5PF
ANKRD46
SLTM
VCL
GRAMD1C
YTHDC1
KCNE5
COL15A1
JAKMIP3
