IL12B|IL23A
COX6A2
FBLN5
PPP4R3A
CLEC10A
THSD7A
TINAGL1
BPIFB1
DDR1
PTS
KRT20
ELANE
AMIGO2
VOPP1
BPIFB1
CKMT1A
MUC16
CR2
RNASE3
FBLN5
EPHA4
MZB1
CALB2
OMG
TCL1A
S100A16
TLE5
EIF4EBP3
SERPINB8
GIPC1
NNMT
VCAM1
MARCO
NRN1L
GCHFR
LSP1
PCDH12
E2F5
H2AC11
NR2C2AP
FSCN1
EPS8L3
GFRA2
MPO
TNFRSF17
SIGLEC7
TNFSF4
KPNA2
CGA|LHB
VCAM1
CGA|FSHB
EDA2R
LYVE1
CD48
DLL4
LY9
BSG
GRN
NRXN3
SEMA6A
SLAMF6
UNC5C
TNFRSF21
SLAMF7
LILRB2
TNC
RNASE3
CPE
ADA2
CELA1
SCGB3A1
PTPRR
DLK1
DEFA5
LILRA3
GKN2
DLK1
ENPP5
WNT11
LRRTM2
HMGB2
RAB26
EVA1C
CD72
SEMG1
SPTLC2
UNC5B
UNC5A
PTPRU
PCDHA7
TFF2
VIT
IDO1
