HNF4A
ENO2
MXRA8
ACE
HHIP
PPP4R3A
SRL
COL1A1
KLK13
CHGA
CD93
PKLR
PCOLCE
COL11A2
CREB3L4
RRM1
RBFOX2
HMBS
RBM23
CRABP2
BPGM
MSTN
TRA2B
TMOD1
ADSS2
TST
TPPP2
NEGR1
SPP1
LUM
SMOC1
DSC2
LTBP4
WFIKKN2
CHAD
RFESD
CFD
SPARCL1
KLK8
GZMA
IL3RA
S100A11
TACSTD2
XCL1
IGFBP6
CHST15
SERPINA4
EFNB2
CD93
H2BC21
S100A10
SELENOM
CFL2
GAS6
UNC5B
GM2A
CTHRC1
LRP11
CD248
CRIM1
LEFTY2
LEFTY2
EPHB4
FOLR2
PKLR
NLGN1
SMOC2
BMP4
EPHA4
MYOC
GSN
LECT2
RCN3
ENPP2
CADM2
SLITRK6
BLVRB
TCL1A
OGN
AGR3
S100A16
CLIC2
SSBP1
ALB
PPIC
SERPINB13
CLSTN2
SEZ6L
IHH
NRN1L
ITGAV|ITGB3
LMNB2
PDE4C
TPPP3
SEMA6D
FZD8
CD300LG
GIPC2
RP9
GCHFR
TMED9
B9D2
RIOX2
LSP1
DCC
METRNL
GALNS
BMP5
COL5A1
PALMD
H2AC11
EPHA6
TIMP2
MAPK6
CLIC2
DKK4
H2BC21
UNC5B
FSCN1
THAP4
AGXT
GIMAP4
CLIC3
EPS8L2
PLCD1
GFRA2
PLEKHM2
DDI2
YAP1
ROR1
EFNA4
TNFRSF17
CKM
IGFBP6
MMP7
CDH5
KLK11
KLK8
NBL1
CFD
CNTN1
TGFBR3
IL19
TGFBI
CD109
CNTN2
CNTN4
IGFBP7
MATN2
RGMB
THBS4
CHRDL1
KLK7
FSTL3
GZMA
CAT
AHSG
BSG
CHL1
DKK3
GNS
A2M
BMP6
CSF1
CA3
EPHA5
MMP2
H2AZ1
COLEC11
SPARCL1
ADGRE2
SLITRK5
SFN
EPHA2
CCL16
HBA1|HBB
CAPG
CA1
NAMPT
ADSL
RTN4R
NOTCH1
NOTCH3
CD200
ROBO2
UNC5C
HMGCR
OMD
TNFRSF21
NPPA
GAS1
HS6ST1
FGFR1
PGLYRP2
PAM
NTNG1
CTRB2
SOD3
CBLN4
SMOC1
TNXB
CLEC3B
GZMM
OMD
SOST
NELL2
PTPRS
NXPH3
CHRDL2
QSOX1
KLK10
VIT
DLK1
XXYLT1
C1QL2
FBLN1
DLK1
LRRTM2
CNTNAP2
EPHA4
NPTN
EPHA7
APLP1
C1QTNF3
SPTLC2
UNC5B
WFDC11
CTSB
MASP1
CDHR3
ZG16B
NOTCH2
RSPO3
BMP6
SOD3
RSPO4
INHBA|INHBB
ROR1
ISLR2
OLFML3
BAMBI
QPCTL
YTHDC1
NEO1
GALNT16
ABCC6
CHL1
COL15A1
PCDH10
CRIP2
PENK
TNFRSF21
CRISP2
NMB
IL2RB
KITLG
GZMK
VIT
IGSF3
MMP16
SEMA4B
RBBP6
KRT1
