RAF1
VDR
AP4M1
STAT3
SMAD3
SMAD2
ZNRF3
STX12
B4GALT5
PABPC3
IL18RAP
TMEM106A
HTATIP2
PGRMC2
SYK
UCN3
SERPINH1
LINGO3
SPAST
STX8
STX6
BMP15
MTRF1L
TBX22
UBE3A
FLNA
CD34
ARHGAP25
NHEJ1
SMAD2
PLCB1
EIF5A2
GRB10
ADH5
MVK
EIF3G
APOL1
ATP5MF
LIMA1
HMG20B
CPNE1
MAP1LC3B
AHSA1
SMAP1
ARFGAP2
PTP4A2
JAK2
PTPN11
DLX4
BUB1
SHMT1
CCM2
ETS2
MRRF
CDKN2D
LYPLAL1
CACYBP
IST1
ANKRD27
NMT1
PMVK
PLEKHA1
NUDT16L1
TAX1BP3
SH3GL2
CHMP3
CDC34
SMTN
UBASH3B
ARL3
PABPC4
PPM1A
SEPTIN11
INPP5B
AHCYL1
KLC1
VPS4B
EIF1B
NEK7
AP1G2
PIN4
CIRBP
MPP7
CSDE1
PRDM4
TARBP2
ACYP2
APPL1
SNX17
FBXL5
ARHGEF2
TMOD3
DDX6
KIFBP
NPLOC4
KCNA10
TSG101
FXR1
VARS1
RELL1
TMEM167B
USP8
GSTK1
LTB4R
TMEM87B
ARFIP1
EIF3J
ARL6IP5
PTGR1
ARHGAP45
ABLIM3
APBB3
GGA1
RAB31
AK5
PPP2R5A
PIR
NAP1L1
USO1
HGS
PNKP
PDGFC
IL12RB1
SERPING1
PAK4
C9
CROT
MCF2L
DAPK1
TOLLIP
PAPSS1
VEGFA
RANBP3
CST7
PKP2
TLN2
SEPHS1
HBEGF
CARS1
RAP1GDS1
DOK2
RAB5C
AGAP2
KIAA0040
SUMO3
EIF4B
MESD
TXNL4B
ID1
PIN1
SAA1
PGAM2
HTRA1
HEXIM1
LIN7B
AKT1
TXLNA
SHC1
CFHR5
GRAP2
TEC
NUDT2
GPN1
RAB4A
HSPE1
YY1
ACAT2
ACOT8
UCHL5
SH3BGRL3
SIRT3
NMI
TRIP10
OVCA2
UBE2S
HADH
RRAS
TRAF1
CRYBB1
ARG2
NAPG
RAB32
PMM2
LSM1
NIT2
BPNT1
NCALD
DDIT4
PPCS
DRG1
TSSC4
LDLRAP1
GMPS
TARS1
GATM
COX5A
PIP4K2B
PGP
CPOX
SERF2
ZWINT
RTP4
SH3GL3
MTHFD2
AMMECR1L
AMPD2
ARL2BP
ARF4
DNAJB4
RAC2
MEMO1
PPP1R14A
UBQLN2
PRKAR2A
TIAL1
DNMT3L
LRRC59
GLUL
EIF2S1
ACADVL
SNTA1
VPS26A
TXNDC12
DDAH1
VEGFA
STX1A
KPNA1
CD81
DLG2
RAB3D
FN1
JPT2
SH3GL2
ITGAV|ITGB6
VSNL1
STAT5A
PDE6H
TRAPPC2
IZUMO4
FREM1
MDP1
TCEAL7
PDCL3
NAA50
ECHDC1
PLEKHF2
UNC119B
HSPBP1
GFPT1
MAD2L1BP
TYW5
BAP18
TBC1D13
CIAO1
TFB2M
DESI1
KPNA5
DFFA
UBA5
RWDD1
TBCC
UPRT
NRBF2
NARS1
MGMT
ALDH7A1
ACOX1
PLA2G12A
FKBP5
TXNL4A
UBE2Q1
USP19
HS2ST1
USP22
UBA1
USP46
USP11
USP4
CYLD
ABHD4
NEIL1
RPN2
RPS12
POU2AF1
UBQLN3
TIA1
NAE1|UBA3
CD2AP
DAB2
ITGB1BP2
TRIM21
WAS
MAP2K5
SUMO4
LACTB2
HOXD4
LYRM1
MRPL10
SPATA22
ZC3H8
ZDHHC4
STK4
PPM1M
GABARAP
GAGE2D
CCL7
PIP4K2B
SSPN
AKIRIN2
PID1
MLX
RBPMS2
AKT1S1
RAB4B
PCBP2
UCK1
ANKRD40
ARPC2
TIPRL
POLR2M
SNX16
SYAP1
GOLPH3L
VGLL4
EXD1
SAMD4B
C16orf71
RNF25
HSD17B4
BZW2
NCKIPSD
ZC3H12A
DLST
CTPS1
C5
PAGR1
GSK3B
CACNB3
EPN1
SETD3
DAPK3
GAB1
UTP6
SCP2
MBNL1
RDH13
TBC1D25
MARS1
CTNNA1
INPP4B
GRIPAP1
DLGAP4
AFAP1L2
MBNL2
MTHFD2L
SHARPIN
SNX12
ASCC2
SLBP
HES6
CT45A1
SNX11
CAVIN1
CXorf38
GTPBP10
ANKRD16
EPS8L1
VIL1
DNAJC1
MZT2A
EIF3B
ERC1
RANGAP1
WEE2
PFKFB4
OXCT1
SCP2
DYNC1LI2
OSBP
WASL
DIAPH1
SRGAP2
CADPS2
CMIP
TFCP2L1
EIF2A
DPH7
BCL2L14
ARMC8
NUMB
TMUB1
EEF1A1
HDAC4
RABL6
LIMD1
SH3PXD2B
KDM4C
NCOA7
PSMC5
CFI
KAT5
GLUD1
PAFAH1B2
PRKCA
PLA2G2A
SPINT2
CCN2
IL18RAP
CXCL11
HP
C9
LBP
F10
METAP2
METAP1
NID1
GSK3B
GRK2
CDK8|CCNC
PRKCI
LYN
PIK3CG
AKT3
UFC1
FN1
FN1
LYN
CXCL13
CPB2
CASP3
CD84
CFHR5
PRKCQ
MAPKAPK2
MAPKAPK3
UFM1
AIP
DYNLRB1
SBDS
CDC37
KPNB1
PGAM1
SNX4
CFB
FN1
PLG
AKR7A2
VTA1
HSD17B10
FER
EIF4G2
GPI
CLEC1B
CRP
C5|C6
PDGFA
KYNU
IL6
ITIH4
VEGFA
F9
F10
PPP3CA|PPP3R1
ARPP19
MSN
TPM1
NMT1
PDE11A
SHC1
F9
IL1RN
FGL1
BID
EIF4H
EIF5A
NME1
BOLA3
CFHR1
PIP
TP53
MICU2
CSTL1
LONP1
TP53I13
C14orf93
LAMA4
PZP
CNP
APLN
ATAD1
DNAJB11
LACRT
