Unnamed: 0	coef	cohenD	pval	padj
S-1-pyrroline-5-carboxylate	-0.133481429209404	-0.395202325577807	0.0810726874385504	0.4816717237744513
spermidine	-0.132606777284239	-0.24321685284515	0.280077705117329	0.7149228510557488
1-methylnicotinamide	-0.563183225547874	-0.451840554745727	0.046743690114543	0.45086413828663746
5-hydroxyindoleacetate	-0.888310180244025	-0.521372491504872	0.0223016351429328	0.3479711012742897
alpha-ketoglutarate	0.0986745765110257	0.269868960065967	0.231121696144969	0.6772681622664024
kynurenate	-0.181792064030876	-0.351750975686102	0.119748493749417	0.5672015708398724
3-hydroxyisobutyrate	0.0963383296189789	0.148370170651007	0.508946593544186	0.8244157797715747
3-hydroxy-3-methylglutarate	-0.22825852714537	-0.303531583013201	0.178557824214551	0.6430421784384304
homovanillate (HVA)	-0.176500554243578	-0.304765336613505	0.176819453172228	0.6407775560035237
3-phosphoglycerate	0.0730499986482644	0.110977837619932	0.621072897675679	0.8721874292447898
cholate	-2.14212105144935	-0.383682173062761	0.0901538806386404	0.49906481028251526
5,6-dihydrothymine	0.0425801657904715	0.165547812884546	0.461309019001436	0.814492291282671
hypoxanthine	-2.68833268713601	-0.428012125836338	0.0592716177856593	0.4693073617207799
linoleate (18:2n6)	0.114924332050989	0.15680745849873	0.48522508259752	0.8236775938244362
laurate (12:0)	0.499551528487699	0.51506987104358	0.0239170069082719	0.3499913912414456
quinolinate	0.0017436741611674	0.0021153524724963	0.99247616418921	0.9971753884514695
N6,N6,N6-trimethyllysine	-0.105341678528483	-0.197127546942466	0.380711921789011	0.7526558654550494
N-acetylputrescine	-0.0947133723649549	-0.198244959374925	0.378031306414443	0.7497032076742505
N-formylmethionine	-0.17401427190612	-0.623678497973263	0.0066374532701907	0.23327957659668755
S-adenosylhomocysteine (SAH)	-0.079970375246873	-0.231081037828172	0.304598236405307	0.7183514874694528
adenosine 3',5'-cyclic monophosphate (cAMP)	0.0264496469514323	0.127509796423579	0.570153140533217	0.854832576961106
adenosine 5'-diphosphate (ADP)	0.0887228189409334	0.11135722572377	0.619882002369179	0.8721874292447898
adenosine 5'-monophosphate (AMP)	0.0021748175775619	0.0031314666209248	0.988862273804384	0.9971221569554373
5-methylthioadenosine (MTA)	0.0070297012782828	0.0207401410347353	0.926337827037151	0.9692745902232911
N6-methyladenosine	-0.0520435527063516	-0.183559874409406	0.414202436673927	0.7805884247269798
arachidonate (20:4n6)	0.0034421421288034	0.0066666479734211	0.976291422855908	0.9921888885537532
arginine	-0.222423319625864	-0.706093324252001	0.0022614268110245	0.12628283402615761
aspartate	-0.0262945896343871	-0.0682949107368968	0.760856740911573	0.9321812957357724
3-(4-hydroxyphenyl)lactate	-0.0540985934997746	-0.148504028478921	0.508565473093903	0.8244157797715747
phenylpyruvate	0.0582622967673712	0.130298424680522	0.561767843872551	0.8516772863263193
beta-alanine	0.0876245358759355	0.177687998428087	0.429231353435864	0.7879143010301932
biliverdin	-0.143724063296894	-0.256538609112257	0.254774676473597	0.7003003412914155
succinate	0.103116036860337	0.223743609227587	0.320108615990734	0.7257163281328392
3-hydroxybutyrate (BHBA)	1.56365933414828	0.280814358362816	0.212922802025993	0.6567182934580773
cholesterol	-0.037811122638519	-0.145016929402563	0.518543513201636	0.8273303270780991
choline phosphate	-0.147637056336366	-0.331953099446702	0.141696057730122	0.6071755716963809
cortisone	-0.153715382625958	-0.317298947139029	0.159881611627404	0.6235196827901972
creatinine	-0.116065538665377	-0.609072613438738	0.0079599066308046	0.23327957659668755
cysteinylglycine	0.0533320888693267	0.155301465847276	0.489413972747246	0.8236775938244362
cystine	-0.0291512350406091	-0.0756085523951422	0.736172343654176	0.9200149970910017
sphingosine	0.355459747909696	0.510797374886493	0.0250700713801601	0.3499913912414456
deoxycholate	-0.460265132928419	-0.477454700000873	0.0358798062234475	0.4145952140896058
cystathionine	0.0401005021412559	0.0546265799001031	0.807641903218826	0.9472506989604939
sphinganine	0.221366141075837	0.374342402373204	0.0981146004451905	0.5102921130997408
flavin adenine dinucleotide (FAD)	0.0388753422534483	0.162659069847813	0.469138322352252	0.8213791419401639
fumarate	0.054627216950309	0.130158649954659	0.562186690640782	0.8516772863263193
gamma-glutamylglutamate	-0.103954414085605	-0.216955563495251	0.334918642260535	0.7376461946008647
gluconate	-0.0297494997171833	-0.0770196333795701	0.731440649654774	0.9196272590406527
glycine	-0.105778004880282	-0.319536969611443	0.156993249835	0.6235196827901972
glycocholate	-0.429475185315161	-0.225983422220137	0.315319072266769	0.7222188817313904
guanidinoacetate	-0.0598482546796515	-0.147137155361346	0.512464400992388	0.8256790673943638
histidine	-0.0603861916292114	-0.380443302541789	0.0928523196678194	0.5047850668044637
cortisol	-0.0748893788715052	-0.125493800333916	0.57625280527	0.8587138011116151
hypotaurine	0.0964485221703129	0.130200780565353	0.562060426520027	0.8516772863263193
inosine	-2.62354785664337	-0.335236663865452	0.137852228481602	0.6018980017241964
inosine 5'-monophosphate (IMP)	0.213906319809999	0.208252789387923	0.354554145866246	0.7392830189227497
myo-inositol	-0.203320216243419	-0.48363038307557	0.0336151933540074	0.4145952140896058
isoleucine	0.0822215113114799	0.347942283318574	0.123745752163343	0.5708445349795954
2-aminoadipate	0.0445535892303153	0.0795261980652031	0.723061260538643	0.9196272590406527
citrulline	-0.201282776542353	-0.664353172177891	0.0039435978603149	0.17170161800642741
leucine	0.0710709588691132	0.290951936370172	0.197028519484227	0.6475287609644903
lysine	0.0112005506599198	0.0733816077187843	0.743660554499284	0.9213577771045216
