	cohenD	fc_case_control	pval	padj
1-oleoyl-GPE (18:1)	0.0841735757000427	0.04814514259273328	0.707615069179612	0.9531485733959788
1-linoleoyl-GPE (18:2)*	0.275475399449665	0.15819759134448882	0.221663764071845	0.854282201100403
1-arachidonoyl-GPE (20:4n6)*	-0.161503129775633	-0.055183307237678975	0.472292110961553	0.9077041602585816
N-acetylcitrulline	0.0289124099631941	0.04081729501216747	0.89745293397856	0.9912437377647828
2-hydroxypalmitate	-0.395422642979825	-0.14901397373960037	0.0809066733821829	0.8410038443481185
gulonate*	-0.308790493195738	-0.21182633768571318	0.171237312734431	0.8410038443481185
glutarylcarnitine (C5-DC)	-0.162890760048409	-0.08787571656360864	0.468507625888084	0.9046254322428878
beta-hydroxyisovaleroylcarnitine	-0.0071359970700154	-0.0037756236931593547	0.974622833241714	0.9968734286685228
tiglylcarnitine (C5:1-DC)	-0.122940188381566	-0.07735440053813566	0.584023863488245	0.9460294949023328
hydroquinone sulfate	0.112783035256962	0.15182398884390316	0.615415501691667	0.9531485733959788
catechol sulfate	0.20230020684652	0.21696036423927434	0.368402873372098	0.880350109567108
cholesterol sulfate	-0.131871490204692	-0.05736128173019749	0.557064652407006	0.9459057688432562
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	-0.168023426343181	-0.09598064876178775	0.454659031042251	0.9005494485533818
3beta,7alpha-dihydroxy-5-cholestenoate	0.0019340148946496	0.0010977731291396118	0.993121124358689	0.99876920658253
N-acetyl-aspartyl-glutamate (NAAG)	-0.0983019016601682	-0.05893155199760463	0.66142837580357	0.9531485733959788
tetradecanedioate (C14-DC)	-0.0299120224029426	-0.03064914715110887	0.893928497498046	0.9900398077718444
hexadecanedioate (C16-DC)	-0.0648545758174941	-0.06121004323702497	0.772556459669598	0.9676825163420062
octadecanedioate (C18-DC)	-0.244641132903543	-0.21812367452046189	0.277292154365817	0.854282201100403
undecanedioate (C11-DC)	0.054662533335739	0.026846839762779042	0.80751783111718	0.9753632703711792
glycerophosphoglycerol	0.0813860282030765	0.060836665104794165	0.7168656257832	0.9531485733959788
glycerophosphoethanolamine	-0.0983741306807701	-0.03276665573935733	0.661195410521835	0.9531485733959788
3-(3-hydroxyphenyl)propionate	0.384122104745873	0.667442142602072	0.0897923670674373	0.8410038443481185
ectoine	-0.0842575388317701	-0.1468437851709932	0.707337108155388	0.9531485733959788
1-arachidonoyl-GPI (20:4)*	-0.523689452878133	-0.27270141266231157	0.0217325570568947	0.8410038443481185
1-palmitoyl-GPI (16:0)	-0.500815864278215	-0.3996597035890355	0.0279569149140925	0.8410038443481185
glycolithocholate sulfate*	0.353065033775458	0.4125962951707711	0.118393539123552	0.8410038443481185
taurolithocholate 3-sulfate	0.114589795457443	0.19534958780974554	0.609776446980659	0.9531485733959788
deoxycarnitine	0.275267590198375	0.08736218697568374	0.222009213094324	0.854282201100403
N6-succinyladenosine	-0.0513841620405127	-0.038140931273303265	0.818851105222679	0.9764605313929012
1-ribosyl-imidazoleacetate*	-0.0682592714283688	-0.041638449946145545	0.760977661237646	0.9600443502653296
N2-acetyllysine	0.0610142184639565	0.06076300304760605	0.785678967873298	0.967991404081062
3,4-dihydroxybutyrate	-0.145775878110125	-0.10769730786856124	0.516363098286761	0.925220765534667
indoleacetylglutamine	-0.139034359061984	-0.17509628217446568	0.535899371988939	0.9336440618723552
hexanoylglutamine	-0.111221978260792	-0.1594378159631028	0.62030642640168	0.9531485733959788
N6-acetyllysine	-0.098080195382498	-0.03251158438771361	0.662143669156117	0.9531485733959788
dihomo-linolenate (20:3n3 or n6)	-0.541125107742361	-0.32641914803835426	0.0178477221793267	0.8410038443481185
mannitol/sorbitol	-0.323372990344486	-1.399218110836329	0.152136534190909	0.8410038443481185
tryptophan betaine	0.124769712574694	0.2382098088424802	0.578451265618853	0.9460294949023328
4-vinylphenol sulfate	0.158437561768678	0.261720012215196	0.480713372064652	0.909334232551504
4-ethylphenylsulfate	0.355814413490028	1.315010861088827	0.115598247005125	0.8410038443481185
thymol sulfate	-0.11319438892541	-0.2721449505714926	0.614129577511076	0.9531485733959788
pyrraline	-0.0267025706565663	-0.029765219384331333	0.905251614579518	0.9912437377647828
N6-carboxymethyllysine	0.144166331339363	0.050058064767741384	0.520992983059636	0.925220765534667
1-oleoyl-GPI (18:1)	-0.336344396496978	-0.2114410787374434	0.136574128128416	0.8410038443481185
1-linoleoyl-GPI (18:2)*	-0.394439143565706	-0.21448011808831685	0.0816499426905807	0.8410038443481185
o-cresol sulfate	-0.234254271335263	-0.5802851791279735	0.298050564934914	0.854282201100403
dimethylarginine (SDMA + ADMA)	-0.0031541759870497	-0.0007752537009165831	0.98878150852619	0.997313991810292
gamma-glutamylalanine	0.281108466963194	0.26732460798408736	0.212448763233149	0.854282201100403
N-acetylserine	-0.136983091923277	-0.04279425177668453	0.541918178031795	0.939281049999296
1-stearoyl-2-oleoyl-GPE (18:0/18:1)	-0.22928004686589	-0.16721114448189187	0.308357397963731	0.854282201100403
4-allylphenol sulfate	-0.0084317827402441	-0.013201719925241693	0.970016777597027	0.9968734286685228
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	-0.0586100934273074	-0.012175326697830566	0.793925842326381	0.967991404081062
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	-0.369256896082821	-0.37623992428446085	0.102684407577923	0.8410038443481185
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)	-0.0971315664360407	-0.09563967026065355	0.665207784107401	0.9531485733959788
sphinganine-1-phosphate	-0.02170188716754	-0.009206053113284918	0.922932627884512	0.9912437377647828
glycosyl-N-stearoyl-sphingosine (d18:1/18:0)	-0.0663669998212682	-0.029643965617628366	0.767406411606367	0.9635718375317815
cyclo(leu-pro)	0.192024035894323	0.21053575373365355	0.393105664358487	0.8874151274135207
succinylcarnitine (C4-DC)	0.159674872161958	0.07554248741964463	0.477304421923506	0.9077041602585816
bilirubin (E,E)*	0.172082960681866	0.12257165015587712	0.44387437230603	0.8970489695556149
bilirubin (E,Z or Z,E)*	0.262297884437769	0.21223348433773498	0.244352878661797	0.854282201100403
N-methylproline	0.202957040666812	0.5072725484925755	0.366858108508079	0.880350109567108
beta-cryptoxanthin	0.0542411305797593	0.07166779741700814	0.808972363738584	0.9753632703711792
5alpha-androstan-3beta,17beta-diol disulfate	-0.193872658292871	-0.33638176619083504	0.388587822024227	0.8843749342068092
5alpha-pregnan-3beta,20alpha-diol disulfate	0.243182864365088	0.9079966945789014	0.280144414384738	0.854282201100403
glycocholenate sulfate*	0.435913327596412	0.2861597529639833	0.0548345358009526	0.8410038443481185
taurocholenate sulfate*	0.0633381152446601	0.056316364544784676	0.777730525436134	0.9676825163420062
androstenediol (3beta,17beta) disulfate (1)	-0.13966025564712	-0.28691052249015636	0.534069728321702	0.9334785130902692
