Unnamed: 0	coef	cohenD	pval	padj
S-1-pyrroline-5-carboxylate	-0.0957112128409209	-0.285020692403607	0.206216871022766	0.689760911209453
spermidine	-0.225185947966944	-0.448527984562955	0.0483365543996003	0.5020663420693201
1-methylnicotinamide	-0.585534248911942	-0.457344362871688	0.0441966893716615	0.4936072360350826
5-hydroxyindoleacetate	-0.835350370136357	-0.435098736631971	0.0552785406330019	0.5114258462877435
alpha-ketoglutarate	0.0044080842536466	0.0128313551884958	0.954386404199477	0.9827625323182854
kynurenate	-0.153264255150746	-0.2997433753108	0.183976444791373	0.6639422038219278
3-hydroxyisobutyrate	-0.0546915403866345	-0.0956830245006327	0.669897643241135	0.8996979740238534
3-hydroxy-3-methylglutarate	-0.243702592616496	-0.325170370317825	0.149901391924432	0.6572123009579436
homovanillate (HVA)	1.01413080148441	0.175843710784089	0.434017641858865	0.7960919748144727
3-phosphoglycerate	-0.0704037784147774	-0.116053607000851	0.605224999567519	0.8752986301264379
cholate	-1.00689873244145	-0.168657939428027	0.452963508485828	0.8104456703262454
5,6-dihydrothymine	-0.0194755748208587	-0.073787660988934	0.742293312517824	0.9189885701066642
hypoxanthine	-2.31185869123181	-0.355477561643052	0.115937854831839	0.6202277839667265
linoleate (18:2n6)	-0.0611814405034033	-0.0903795270254168	0.687179481785273	0.9012329173970021
laurate (12:0)	0.522142616463584	0.384527633231847	0.089460178778168	0.5823144152370322
quinolinate	-0.162273298801515	-0.251059631304314	0.264978138476953	0.713557880517886
N6,N6,N6-trimethyllysine	-0.168332993376591	-0.360214712887317	0.111234781135824	0.6202175624754468
N-acetylputrescine	-0.128754553059124	-0.264721924076757	0.240058883102068	0.6978970799536184
N-formylmethionine	-0.152213206904302	-0.493607345841714	0.0302196192993082	0.4245718858610851
S-adenosylhomocysteine (SAH)	-0.0319417324064672	-0.0787763480718119	0.72556450006782	0.9165969578782012
adenosine 3',5'-cyclic monophosphate (cAMP)	0.0312516444277391	0.180633818034577	0.421651579230937	0.7936624810088735
adenosine 5'-diphosphate (ADP)	-0.15656730588617	-0.221840593599671	0.324215871487543	0.7457005334889986
adenosine 5'-monophosphate (AMP)	-0.114985013432362	-0.154547115947535	0.491519620272919	0.8277814557294715
5-methylthioadenosine (MTA)	0.0362583861453997	0.0924579960501623	0.680386136371944	0.9002751685927499
N6-methyladenosine	-0.104067791573966	-0.352431586543964	0.119045163014834	0.6202277839667265
arachidonate (20:4n6)	-0.205401503155921	-0.528626202554368	0.020562803054915	0.3643713369627968
arginine	-0.197212746643302	-0.617861401254582	0.0071379626330391	0.27256214173549537
aspartate	-0.0901501876564766	-0.239342132385514	0.287753574202953	0.7309368440324019
3-(4-hydroxyphenyl)lactate	0.0514978230354009	0.114300994386436	0.610676247762017	0.8789156942736036
phenylpyruvate	0.031316991496174	0.0761873696446767	0.734230184096729	0.9168310150070383
beta-alanine	0.109702053903006	0.289678594009333	0.198974904994414	0.6788179234696889
biliverdin	-0.0258001238776916	-0.0399875549514453	0.858535050575835	0.9660321179656662
succinate	0.101394734214707	0.264998416631524	0.239572563849837	0.6978970799536184
3-hydroxybutyrate (BHBA)	0.0751187619106044	0.0324864977744482	0.884861396969167	0.9670635866239548
cholesterol	-0.106792498750229	-0.425011953274287	0.0610342174858054	0.5222363286487058
choline phosphate	-0.187985701940161	-0.442709203502968	0.0512471289986647	0.5020663420693201
cortisone	-0.16255958871554	-0.359789207460903	0.111650852434317	0.6202175624754468
creatinine	-0.103373669531544	-0.521865898153458	0.0221793525606269	0.374040500470516
cysteinylglycine	0.0183632023408648	0.0539641255674862	0.809928853602123	0.9537563969720894
cystine	-0.119426224005654	-0.356363743583564	0.115046133061119	0.6202277839667265
sphingosine	0.163569174602551	0.283972100663931	0.207873774029973	0.689760911209453
deoxycholate	0.168844393584517	0.1472669411318	0.512093513081164	0.8308166399896746
cystathionine	0.150975854285701	0.151154763523212	0.501049812711283	0.8296718336274073
sphinganine	0.082485350218667	0.155506660710282	0.488842061630033	0.8270062844226612
flavin adenine dinucleotide (FAD)	-0.0234385493619879	-0.0976017304107373	0.663688416373223	0.8981803696071295
fumarate	-0.0109799686576573	-0.0253478676230415	0.910037117505564	0.9762885557870611
gamma-glutamylglutamate	-0.149671126584869	-0.292901931670755	0.194075420347931	0.6729887819090845
gluconate	-0.0863038470456361	-0.27142319032323	0.228470931387309	0.6978970799536184
glycine	-0.122152367780824	-0.367270433988028	0.104515668646296	0.6051772800510681
glycocholate	-0.0520258514830689	-0.019385681839085	0.931135801617867	0.9797292446814478
guanidinoacetate	-0.0189397222498557	-0.054766890256638	0.807157732648842	0.9516339243585061
histidine	-0.0343107082809349	-0.222404237650267	0.322995734954361	0.7455897323614059
cortisol	-0.211096741528787	-0.394155159840392	0.0818656080824077	0.57144348799628
hypotaurine	-0.0207141136545008	-0.0296115117034127	0.894987817908732	0.9728662066098849
inosine	-2.25929062321208	-0.280525664869833	0.213388869467198	0.6918812939184311
inosine 5'-monophosphate (IMP)	0.163360710050624	0.162411807532305	0.469811936225858	0.8225585220059988
myo-inositol	-0.195069851595017	-0.46969935151155	0.0389105955566564	0.487722447484369
isoleucine	0.0211983641675371	0.104697146704866	0.640933135805084	0.8910780767794464
2-aminoadipate	-0.0254171950224236	-0.0472475471266808	0.833206261196595	0.9567444189714148
citrulline	-0.182438176857543	-0.62853399643018	0.0062445330428161	0.26501798233711527
leucine	-0.0132218472448729	-0.0664732197765508	0.767045105666505	0.9362296896950417
lysine	0.0112006257088224	0.0881583041609938	0.694467964949724	0.9036750217993532
