Unnamed: 0	coef	cohenD	pval	padj
S-1-pyrroline-5-carboxylate	-0.0377702163684831	0.126943451532062	0.571863520340512	0.9460294949023327
spermidine	0.0925791706827049	-0.202555781720554	0.367801313592053	0.880350109567108
1-methylnicotinamide	0.0223510233640673	-0.036315118971488	0.871406025942804	0.9877796939373024
5-hydroxyindoleacetate	-0.0529598101076683	0.0399721702506264	0.858588892789845	0.9844590582306326
alpha-ketoglutarate	0.094266492257379	-0.288325378304433	0.20105904440512	0.8450645502895222
kynurenate	-0.0285278088801296	0.0815745524684238	0.716238647391115	0.9531485733959788
3-hydroxyisobutyrate	0.151029870005613	-0.273207353386843	0.225455302073216	0.854282201100403
3-hydroxy-3-methylglutarate	0.0154440654711262	-0.0384838476187277	0.863800743891172	0.9854759024392833
homovanillate (HVA)	-1.19063135572799	0.206589790594409	0.358388980053384	0.8780462442507145
3-phosphoglycerate	0.143453777063042	-0.230562896095085	0.305676549190991	0.854282201100403
cholate	-1.13522231900789	0.473703992881806	0.0373189697318847	0.8410038443481185
5,6-dihydrothymine	0.0620557406113303	-0.231028107742672	0.304708271843257	0.854282201100403
hypoxanthine	-0.376473995904208	0.199353742384437	0.375383137353794	0.881422626059497
linoleate (18:2n6)	0.176105772554392	-0.246211193974426	0.274243849823741	0.854282201100403
laurate (12:0)	-0.0225910879758853	0.0143939309004299	0.948839020033558	0.9913195420241985
quinolinate	0.164016972962682	-0.215243049151076	0.338724972338343	0.8744214006106616
N6,N6,N6-trimethyllysine	0.0629913148481081	-0.146065760518796	0.515531563670572	0.925220765534667
N-acetylputrescine	0.034041180694169	-0.0894101769960903	0.690356608942037	0.9531485733959788
N-formylmethionine	-0.0218010650018186	0.0966359524743396	0.666810913867431	0.9531485733959788
S-adenosylhomocysteine (SAH)	-0.0480286428404057	0.111760577793911	0.618616998208115	0.9531485733959788
adenosine 3',5'-cyclic monophosphate (cAMP)	-0.0048019974763068	0.0246575200048064	0.912477069459202	0.9912437377647827
adenosine 5'-diphosphate (ADP)	0.245290124827103	-0.347260406254318	0.124472468491587	0.8410038443481185
adenosine 5'-monophosphate (AMP)	0.117159831009925	-0.187068250515585	0.405376218152527	0.8918693169515884
5-methylthioadenosine (MTA)	-0.0292286848671168	0.0746591935920558	0.739361534484882	0.9531485733959788
N6-methyladenosine	0.0520242388676148	-0.254692933525146	0.258180297826181	0.854282201100403
arachidonate (20:4n6)	0.208843645284725	-0.437858210831499	0.0537866922075869	0.8410038443481185
arginine	-0.0252105729825621	0.08458424370094	0.70625592612886	0.9531485733959788
aspartate	0.0638555980220896	-0.207257980290512	0.356844966162207	0.8780462442507145
3-(4-hydroxyphenyl)lactate	-0.105596416535175	0.270076535963229	0.230766388916836	0.854282201100403
phenylpyruvate	0.0269453052711972	-0.0592878574016524	0.791598484706596	0.9679914040810619
beta-alanine	-0.0220775180270706	0.0436391626449471	0.845774956032117	0.9764605313929011
biliverdin	-0.117923939419203	0.178764563514579	0.426451968829621	0.8921060824803984
succinate	0.0017213026456299	-0.0036504743002659	0.987016467033545	0.9973139918102919
3-hydroxybutyrate (BHBA)	1.48854057223768	-0.268207627698069	0.233979675629352	0.854282201100403
cholesterol	0.0689813761117102	-0.33273553559512	0.140772583366819	0.8410038443481185
choline phosphate	0.0403486456037943	-0.119929447175919	0.593249421554641	0.9531485733959788
cortisone	0.0088442060895822	-0.0163168061199985	0.942016013713114	0.9913195420241985
creatinine	-0.0126918691338328	0.0813582279424012	0.71695809805854	0.9531485733959788
cysteinylglycine	0.0349688865284619	-0.0961648875985597	0.668336075318402	0.9531485733959788
cystine	0.0902749889650451	-0.269559352214172	0.231652387128071	0.854282201100403
sphingosine	0.191890573307145	-0.26862065560396	0.233266772969887	0.854282201100403
deoxycholate	-0.629109526512936	0.591090481679478	0.0099165743826653	0.8410038443481185
cystathionine	-0.110875352144445	0.115766222997875	0.606117341430542	0.9531485733959788
sphinganine	0.138880790857171	-0.236591805935721	0.293289017252561	0.854282201100403
flavin adenine dinucleotide (FAD)	0.0623138916154363	-0.233656747095936	0.299276120654784	0.854282201100403
fumarate	0.0656071856079663	-0.179531041125438	0.424479677446812	0.8921060824803984
gamma-glutamylglutamate	0.0457167124992642	-0.0976914512650303	0.663398637002418	0.9531485733959788
gluconate	0.0565543473284529	-0.15613261769246	0.487099688822551	0.9131630481456389
glycine	0.0163743629005415	-0.0577820504600462	0.796771777802512	0.9688329018261654
glycocholate	-0.377449333832093	0.185841024215568	0.408450513379529	0.8918693169515884
guanidinoacetate	-0.0409085324297959	0.107529542800961	0.631943180294329	0.9531485733959788
histidine	-0.0260754833482765	0.146352015898336	0.514711129039389	0.925220765534667
cortisol	0.136207362657282	-0.205186383115627	0.361645814078758	0.8780462442507145
hypotaurine	0.117162635824814	-0.167196413607475	0.456874406038348	0.9005494485533818
inosine	-0.364257233431293	0.182871985990372	0.415946489176718	0.8918693169515884
inosine 5'-monophosphate (IMP)	0.0505456097593751	-0.051564058073656	0.818228182550356	0.9764605313929011
myo-inositol	-0.0082503646484019	0.0248076409468529	0.911946412368843	0.9912437377647827
isoleucine	0.0610231471439428	-0.283967477768595	0.207881100495349	0.8450645502895222
2-aminoadipate	0.0699707842527388	-0.138385841542161	0.537798530203063	0.935416787779426
citrulline	-0.0188445996848101	0.0775123721836307	0.729790816768808	0.9531485733959788
leucine	0.0842928061139862	-0.375928723884416	0.0967234995679109	0.8410038443481185
lysine	-7.50489024598197e-08	4.96473768485267e-07	0.999998234127129	0.999998234127129
malate	0.0802095592630009	-0.254955916394318	0.257693088470918	0.854282201100403
methionine	0.016171639656198	-0.0705800573828914	0.753116039133013	0.9579405443524524
palmitate (16:0)	0.139233925523795	-0.380601624943705	0.0927188952900037	0.8410038443481185
nicotinamide	0.110488263060857	-0.255718837618381	0.256283359134196	0.854282201100403
stearate (18:0)	0.105102569893481	-0.328086617104466	0.146329301359761	0.8410038443481185
ornithine	-0.0188184179062676	0.075236782692224	0.737420685106033	0.9531485733959788
orotate	-0.269549225281634	0.334447472468779	0.138768515427855	0.8410038443481185
palmitoleate (16:1n7)	0.451816868968611	-0.289790150483875	0.198803813328177	0.8450645502895222
phenylalanine	-0.0177833314248452	0.100663368029113	0.653829206175722	0.9531485733959788
phosphate	0.0212629349186944	-0.159382819231162	0.478107847732273	0.9077041602585817
phytanate	0.355613488597032	-0.274157857777227	0.223860617254025	0.854282201100403
proline	-0.0196655366685046	0.0768270197456994	0.73208592093841	0.9531485733959788
lactate	0.119496113519686	-0.365747369659294	0.105937568062776	0.8410038443481185
pyridoxal	0.486391467410888	-0.144837101179626	0.51906085894647	0.925220765534667
retinol (vitamin A)	0.10431007325278	-0.319812673275662	0.156640237493973	0.8410038443481185
salicylate	19.813846316256	-0.285561106733598	0.205366777567257	0.8450645502895222
serine	-0.0335244228045642	0.150570891026106	0.502700106180524	0.925220765534667
serotonin	0.259590418949311	-0.264975655995987	0.239612570477772	0.854282201100403
taurine	0.002483088472545	-0.0084928314497451	0.969799795136784	0.9968734286685227
myristate (14:0)	0.234834234006857	-0.22979022370652	0.307289357397411	0.854282201100403
urea	-0.0040563499007599	0.0133960966727476	0.952381210697391	0.9921993897539081
uridine	0.0453660058331358	-0.173487705637261	0.440177448394584	0.8942906748315212
2'-deoxyuridine	-0.306478882098614	0.491913253958513	0.0307741063601625	0.8410038443481185
trans-urocanate	-0.004913326478188	0.005782806850215	0.979433860094861	0.9968734286685227
glutamate	0.095956094724977	-0.31347350205603	0.164913284812321	0.8410038443481185
glutamine	-0.0198882640808282	0.141693653311872	0.528147899000991	0.9323875554742953
threonine	-0.0487324494414603	0.174380620795094	0.437836915634469	0.8942906748315212
tryptophan	0.0249200251987039	-0.106057162278462	0.636609669682561	0.9531485733959788
valine	-0.0059455669146803	0.0250392295653307	0.911127856716911	0.9912437377647827
glucose	0.0535536383478488	-0.206402592240166	0.358822314084703	0.8780462442507145
alpha-ketobutyrate	0.148186555413931	-0.19424311416686	0.387686357120284	0.8843749342068092
adenosine	0.0523674865391465	-0.123816801471895	0.581350584663866	0.9460294949023327
betaine	-0.092843163680486	0.380000510618726	0.093226311724143	0.8410038443481185
cysteine	0.0208686041370729	-0.0951757043682436	0.671543282422149	0.9531485733959788
mannose	0.199660167459374	-0.375580908831861	0.0970271264821446	0.8410038443481185
dimethylglycine	-0.0710472710404381	0.21086110093679	0.348592857876032	0.8778856117793373
alanine	-0.0186593330133372	0.103160495974469	0.645833099717924	0.9531485733959788
tyrosine	0.0028082761095431	-0.0103718850464274	0.963122360192725	0.9968734286685227
pseudouridine	0.0465941149308532	-0.211068775887358	0.348121023262106	0.8778856117793373
pyruvate	0.0884622690373601	-0.29653379416855	0.188663764936939	0.8450645502895222
uracil	0.0961833297699126	-0.221851661658584	0.324191882728546	0.854282201100403
cytidine	0.129081317672387	-0.302995827172432	0.179316733425366	0.8410038443481185
caffeine	-0.35990118489813	0.267035401599225	0.236011553011551	0.854282201100403
fructose	0.20416464303487	-0.152305038025044	0.497807184663447	0.9248792535085384
adenine	0.0075926679934397	-0.0190996571260169	0.93214933489022	0.9912437377647827
caprate (10:0)	-0.0617140401446853	0.0801824597245872	0.720872923731213	0.9531485733959788
margarate (17:0)	0.312273625746821	-0.341970527161277	0.130226055565238	0.8410038443481185
arachidate (20:0)	0.142718549611643	-0.326171547504594	0.148667490504427	0.8410038443481185
maltose	0.0142951158380598	-0.0239408889016767	0.91501080695757	0.9912437377647827
asparagine	-0.0203487238551429	0.098276599057282	0.661509993954494	0.9531485733959788
N-stearoyl-sphinganine (d18:0/18:0)*	0.226216133526324	-0.322331210721773	0.1534438345911	0.8410038443481185
dihydroorotate	0.013860849575416	-0.0143636184669061	0.948946610686587	0.9913195420241985
caproate (6:0)	-0.106600354403784	0.391594241274742	0.0838317939674719	0.8410038443481185
caprylate (8:0)	-0.149193864830789	0.279075896387837	0.215740729492255	0.854282201100403
sucrose	-0.214085158618274	0.100939246395629	0.652943795237677	0.9531485733959788
trans-4-hydroxyproline	0.150994134806304	-0.178619445072827	0.426825998337894	0.8921060824803984
allantoin	0.0071429018983406	-0.0223747367709	0.92055115992809	0.9912437377647827
xanthine	-0.142794439209644	0.170381851650954	0.448375353968849	0.8992934793212642
5-oxoproline	0.0353142558073862	-0.18882522486601	0.400999477576759	0.889794299445951
picolinate	0.0256792554634605	-0.047108751062406	0.83368893386428	0.9764605313929011
sarcosine	-0.0323558385735525	0.136729824643245	0.542663689858778	0.939281049999296
pantothenate	-0.166710327606061	0.183232544610306	0.415031788697817	0.8918693169515884
pipecolate	0.351712014214128	-0.413786927070542	0.0680262103902263	0.8410038443481185
phosphoethanolamine	0.0939029628357051	-0.225688031608642	0.315947964763479	0.854282201100403
glycerate	0.0059524220706376	-0.0165577570436525	0.941161334178827	0.9913195420241985
3-ureidopropionate	0.017279941932355	-0.0393094058145419	0.860909018935754	0.9844590582306326
N-acetylleucine	0.0277847176206133	-0.101433003437348	0.651360362990779	0.9531485733959788
N-acetylmethionine	-0.0468472495257394	0.177843345035256	0.428829631343706	0.8921060824803984
N-acetylvaline	0.0214926201606378	-0.124182854831384	0.580236014491095	0.9460294949023327
erucate (22:1n9)	0.496135672506933	-0.51087910950783	0.0250475604213437	0.8410038443481185
bilirubin (Z,Z)	-0.169809198341704	0.286679692851353	0.203615450221734	0.8450645502895222
thyroxine	0.0474879447515728	-0.219054998028055	0.330290799202481	0.8610283487809148
guanosine	0.0507651408158179	-0.123412628017791	0.582582408510684	0.9460294949023327
gamma-glutamyltyrosine	-0.0168094674030061	0.0441702116174259	0.843922615564808	0.9764605313929011
methyl indole-3-acetate	0.125566549058114	-0.202785614769795	0.367260876498549	0.880350109567108
alpha-tocopherol	0.0348766411314462	-0.139677935534475	0.534018092564734	0.9334785130902693
N-acetylalanine	0.0304538132089939	-0.159390971563873	0.478085410775207	0.9077041602585817
vanillylmandelate (VMA)	0.0339524143171523	-0.09332225351442	0.677569089250542	0.9531485733959788
4-acetamidobutanoate	0.015920814402607	-0.0346366364752137	0.877300485573997	0.9881271923503299
3-aminoisobutyrate	0.118379340583188	-0.2053945165824	0.361161615893496	0.8780462442507145
citrate	0.0581317164550277	-0.388552114868775	0.0862179083313742	0.8410038443481185
