	coef	cohenD	pval
pipecolate	-0.128136176024422	-0.0947884479302055	0.672800542012112
phosphoethanolamine	0.0119321182525785	0.0246073036533126	0.912654586316291
glycerate	-0.114120787141392	-0.248192361338453	0.270430782204865
3-ureidopropionate	-0.0558603678688082	-0.0993277488791472	0.658122782681021
N-acetylleucine	-0.0400354777447695	-0.106434424418433	0.635412582927016
N-acetylmethionine	-0.0784050666100362	-0.2462464013582	0.274175762531892
N-acetylvaline	-0.125991212406958	-0.559288869964727	0.0144719078202723
erucate (22:1n9)	0.296436205980806	0.25061558831523	0.265817478092711
bilirubin (Z,Z)	-0.157355254535558	-0.326475912219895	0.148293947125018
thyroxine	0.0457987518344943	0.20242203886761	0.368116033238466
guanosine	-0.0693578134086566	-0.122038317497704	0.586780240664926
gamma-glutamyltyrosine	-0.0218486714450397	-0.0532139740589701	0.812520553208446
methyl indole-3-acetate	-0.385486462488196	-0.340838982293717	0.131483695165885
alpha-tocopherol	-0.0675764644548678	-0.246867419692739	0.272976714851805
N-acetylalanine	-0.0885141875906815	-0.365429943863789	0.106235870274176
vanillylmandelate (VMA)	-0.139304076658147	-0.298924015124708	0.185164612612421
4-acetamidobutanoate	-0.207379272204785	-0.370012650819764	0.101994567159226
3-aminoisobutyrate	-0.349267616760137	-0.460778671348044	0.042668639552992
citrate	0.0302290442867652	0.195048069529441	0.385732067621965
2-aminobutyrate	0.0284814279236709	0.0694046779644723	0.757094414178159
urate	-0.0808410253217196	-0.312900166174579	0.1656777631296
oleoyl ethanolamide	0.0354727378392785	0.114032512484372	0.611513279346201
gamma-glutamylglutamine	0.0346906195019114	0.123740811815113	0.581582088119589
4-hydroxyphenylpyruvate	0.0493670609894711	0.0736816484153081	0.742650192938293
butyrate/isobutyrate (4:0)	0.154721801772735	0.283331909183051	0.208890181384403
N-acetylneuraminate	-0.0741675599602957	-0.123961527556857	0.580909796369601
N-acetylglucosaminylasparagine	-0.099367494750749	-0.296835539480897	0.188219304084297
acetoacetate	0.464609320679143	0.226687826569988	0.313822766455012
creatine	-0.00388118948084221	-0.00698423207390842	0.975162363101935
cys-gly, oxidized	0.335432298515545	0.849933553699139	0.000284251916494151
dihomo-linoleate (20:2n6)	0.0439514566422451	0.0401367595637508	0.858012910372966
gamma-glutamylhistidine	-0.145680427151839	-0.532716065748033	0.0196364586199433
2-hydroxystearate	-0.0025613165995257	-0.0105209924982098	0.96259259616972
N1-methyladenosine	-0.0874321152214943	-0.447379667393204	0.0488994705741744
glycerol	-0.00660776859779712	-0.0097056288986541	0.965489701751533
choline	-0.0126511573291572	-0.081416126458332	0.716765514436231
anthranilate	0.0574936588688289	0.113322707661981	0.61372869007297
gamma-glutamylleucine	-0.00440207437910179	-0.0103097366710001	0.963343172135237
3-methoxytyrosine	-0.0834515033606506	-0.282252926579495	0.21061153890997
beta-hydroxyisovalerate	-0.0048493767577997	-0.0100038649640936	0.964429969662771
palmitoyl ethanolamide	4.01621551938474	0.659380327607822	0.00420757970609538
N-palmitoyl-sphingosine (d18:1/16:0)	0.155852322693108	0.554902927113399	0.0152298182095295
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	0.164318641711877	0.251535281582485	0.264081120900338
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	0.140732415244919	0.261621864917155	0.24556013817146
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	0.0385923062983728	0.344703075585031	0.127228232751448
stearoyl sphingomyelin (d18:1/18:0)	-0.0167764111606506	-0.0649158405686779	0.772347642989513
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	0.0612752904498579	0.394348640946758	0.0817186219116338
N-stearoyl-sphingosine (d18:1/18:0)*	0.205395464818462	0.445371904988925	0.0498971750560666
glycochenodeoxycholate	-0.0468819551488638	-0.0339862251220032	0.879586471146715
taurochenodeoxycholate	-0.370685455791758	-0.157897130416523	0.482206562066064
taurocholate	-1.04322821611078	-0.249044167817834	0.268802788685569
2-hydroxyhippurate (salicylurate)	-1.93046798996171	-0.025858472713272	0.908232999171363
azelate (C9-DC)	0.185690975955685	0.175599123858131	0.434654746020327
eicosapentaenoate (EPA; 20:5n3)	-0.31470547131736	-0.290310141577169	0.198007760794719
ethylmalonate	0.274552909396789	0.375236386868814	0.097328644069002
carnitine	-0.0992078233294007	-0.573907742243403	0.0121844177367158
3-phenylpropionate (hydrocinnamate)	-0.260847126999673	-0.225737245025334	0.315843130182248
phenylacetate	-0.05605414741032	-0.0723629101802871	0.747094280469839
hippurate	0.342372904966836	0.206100853357184	0.359521497454897
xanthurenate	-0.163384436833477	-0.213840931586627	0.341862386985346
3-methyl-2-oxovalerate	0.156962074361924	0.559492764647462	0.0144375130841153
methionine sulfoxide	-0.0460880825413603	-0.0892879870592778	0.69075749329542
3-methylhistidine	-0.732621242210196	-0.317616885130913	0.159468806477168
5-hydroxylysine	0.376071315928151	0.402521741268813	0.075706130273861
4-guanidinobutanoate	-0.173178417359699	-0.176101684958958	0.433346262834449
glucuronate	-0.0487439269113374	-0.0494717205541089	0.825480411139724
glycerol 3-phosphate	-0.219080310347024	-0.396677235420643	0.0799666645472922
imidazole lactate	-0.143490278869993	-0.298314685418194	0.18605195646044
kynurenine	0.0316846460787476	0.0745669624759177	0.739671612105517
glycerophosphorylcholine (GPC)	0.00786381439512295	0.026054438958119	0.907540720227319
N-acetylglutamate	-0.0453983520490862	-0.0933802262821666	0.677380290845613
ribitol	-0.0584242127415908	-0.152187359598829	0.498138396980581
theophylline	-0.0465626334039793	-0.0578210331736063	0.79663773435048
quinate	-0.513731970533875	-0.193407031430642	0.389722719044917
theobromine	-0.539697774035642	-0.392062803880766	0.083469162359339
gentisate	0.149057026295565	0.0577150057462841	0.797002327734621
paraxanthine	-0.0568642534762523	-0.0525678997710017	0.814754356454418
indolelactate	-0.0470539835764585	-0.0845824026385547	0.706262017165609
3-indoxyl sulfate	-0.0967544330847981	-0.154502515913522	0.491644269204279
gamma-glutamylphenylalanine	0.0130340965797548	0.0378726310023184	0.865942884669153
4-methyl-2-oxopentanoate	0.0747345359823759	0.240731013860104	0.284985712606569
1,5-anhydroglucitol (1,5-AG)	0.0260292215858037	0.0638863630127173	0.775858766040027
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	-0.0294287847580757	-0.129987082959315	0.56270101575377
sphingosine 1-phosphate	0.187233321352799	0.924286840335555	8.91931402844569e-05
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	0.187534563315542	0.349500569659031	0.122097666154767
1-stearoyl-GPI (18:0)	-0.045776670131915	-0.10332651127928	0.645302961270071
1,2-dipalmitoyl-GPC (16:0/16:0)	-0.0004593856305961	-0.00304738245234613	0.98916131799968
docosahexaenoate (DHA; 22:6n3)	-0.220739976646676	-0.24215726081237	0.282162545607696
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	0.189846261945117	0.318291419601084	0.158595724543985
alpha-hydroxyisocaproate	-0.142710824513349	-0.141464695047273	0.528812982727177
isovalerate (i5:0)	0.12514417650248	0.310950352650607	0.168297963064499
4-acetylphenol sulfate	-0.834527581908324	-0.495689483945448	0.0295501236336948
1-methylguanidine	-0.347717064253608	-0.564192748577427	0.0136647800308685
2-hydroxyoctanoate	0.134079302458438	0.174550233252519	0.43739314913257
3-hydroxyoctanoate	0.00231755827698339	0.00222465222126085	0.992087422090882
phenyllactate (PLA)	0.116410413181645	0.21191446103225	0.34620391454144
palmitoylcarnitine (C16)	0.0567416389074594	0.211230318305255	0.347754287413038
hexanoylcarnitine (C6)	-0.0534414300940755	-0.11414252737658	0.611170229199452
N-acetylaspartate (NAA)	-0.130827060449016	-0.271938761161649	0.227596510084506
dehydroepiandrosterone sulfate (DHEA-S)	-0.292049100502348	-0.210983986706844	0.348313613096167
acetylcarnitine (C2)	-0.0206487013708434	-0.0578140983696492	0.796661579474389
cysteine s-sulfate	-0.0534263126781912	-0.150120735889613	0.503974449455846
tartronate (hydroxymalonate)	-0.161135584916969	-0.30977113070561	0.169897943718125
oxalate (ethanedioate)	-0.0156752453106071	-0.0368632543573129	0.869482654640136
erythritol	-1.74037021227288	-0.237714238709393	0.291021216491513
adipate (C6-DC)	0.17404234017055	0.193446045904683	0.389627548202158
iminodiacetate (IDA)	-0.134785884244931	-0.690544484017361	0.0027890001515358
1-oleoylglycerol (18:1)	-0.0616395258074521	-0.092051797985124	0.681711714049481
3-methyl-2-oxobutyrate	0.124877411811108	0.547584095860645	0.0165741337407949
1,6-anhydroglucose	-0.292584450108713	-0.219506587645042	0.329300887202149
2-oleoylglycerol (18:1)	-0.0416014747829094	-0.0783994635707855	0.726823792778488
homoarginine	-0.10882163722048	-0.202801167318651	0.36722432394607
homocitrulline	-0.540471922688304	-0.441507686500352	0.0518664143203283
2-linoleoylglycerol (18:2)	0.000834814695740406	0.00137445937002359	0.995111312638449
3-hydroxydecanoate	0.092477055206666	0.157405706045654	0.483566576110838
citramalate	0.0226563809981251	0.0439677132783997	0.844628842463573
EDTA	-0.00481259724452238	-0.0283887318584963	0.899300147896468
N-acetylglycine	-0.0152216014652216	-0.0178345602563433	0.936633548697296
ribonate	-0.0527404231062791	-0.165938639732221	0.460255512340295
threonate	0.0461784929833846	0.0938141138407887	0.67596791706227
beta-sitosterol	-0.156406833091833	-0.258680720269528	0.250862155067462
indoleacetate	-0.336317488046759	-0.584126971175222	0.0107849706228753
1-linoleoylglycerol (18:2)	-0.167246795961664	-0.266491191954409	0.236959170769972
2-palmitoylglycerol (16:0)	-0.0203753397619452	-0.027569356251639	0.902191512774279
1-methylhistidine	-0.338020434948519	-0.564161317880991	0.0136698214953334
butyrylcarnitine (C4)	0.22919693899572	0.348572761182677	0.123076822171159
isobutyrylcarnitine (C4)	-0.327405706088178	-0.391395346577387	0.0839861158324915
androsterone sulfate	-0.142740750436333	-0.113331905254612	0.613699959899811
2-pyrrolidinone	-0.216235764549072	-0.418693928416624	0.0648910903904195
indolepropionate	0.280717585649296	0.203687841074328	0.365144231291953
N-(2-furoyl)glycine	-2.58703024583202	-0.456026077635752	0.0447956248520856
trigonelline (N'-methylnicotinate)	-0.221627659444302	-0.188791104784718	0.401084196623358
dodecanedioate (C12-DC)	0.360178956217043	0.421041909507296	0.0634344644054988
glutamate, gamma-methyl ester	0.141182031686262	0.312836932277881	0.165762244487533
N-acetyltyrosine	-0.263344216607673	-0.415148837174772	0.0671435984335423
1,3-dimethylurate	-0.051719625897973	-0.0746726769567072	0.739316207525839
3-methylxanthine	-0.280661845217943	-0.227514780922744	0.312072224210425
3-hydroxylaurate	0.157568527585217	0.286193088219298	0.204375941904863
pyridoxate	0.217563897556277	0.02365111604004	0.916035586078823
gamma-glutamylvaline	-0.0784673131097191	-0.250605612435962	0.265836356121165
O-acetylhomoserine	-9.06350210055028	-0.392969823148301	0.0827708783332644
3-hydroxysebacate	0.155385554858372	0.0845507664285183	0.706366686532115
propionylglycine	-0.145527083532531	-0.114746263339758	0.609289199982746
propionylcarnitine (C3)	-0.162520786865625	-0.388266581239989	0.0864447114236976
pro-hydroxy-pro	0.269116576646944	0.253550193264145	0.260304929249362
3-hydroxy-2-ethylpropionate	0.0786148936723556	0.178561389732489	0.426975685236659
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	-1.40945703649751	-0.555423854188288	0.0151379723156273
docosapentaenoate (n3 DPA; 22:5n3)	-0.208731163873753	-0.121428745161998	0.588646742305972
docosadienoate (22:2n6)	0.139097984221851	0.229860338352009	0.307142769771022
adrenate (22:4n6)	0.0489477523067546	0.0910830226469152	0.684877232496619
10-undecenoate (11:1n1)	-0.0410861601824825	-0.0793311749245337	0.723712020965758
myristoleate (14:1n5)	0.423738669134382	0.360056373229154	0.111389464192144
4-imidazoleacetate	-0.106177023121387	-0.260004770334123	0.248465285862316
1-methyl-4-imidazoleacetate	-0.208893050322256	-0.21556360045057	0.338010352254417
sebacate (C10-DC)	0.415094324948894	0.344770295850413	0.12715518235075
delta-tocopherol	0.115695497656694	0.0979165393579284	0.662671876055966
stearidonate (18:4n3)	-0.0825211514148727	-0.0949593106968182	0.672245706911706
nervonate (24:1n9)*	0.167228648020024	0.338825828218477	0.133744891024608
5-dodecenoate (12:1n7)	0.304347851239126	0.476117477752402	0.0363872741037714
octanoylcarnitine (C8)	-0.125990665629077	-0.207926065762264	0.355305470341159
decanoylcarnitine (C10)	-0.155803918732797	-0.213402770152661	0.342846702824649
N-acetylglutamine	-0.275730564627694	-0.467982488334882	0.0396107562988473
N-acetyltryptophan	0.0496631586333808	0.104039722032434	0.643027550110423
N-acetylphenylalanine	-0.14606300575895	-0.258602368642137	0.251004505348987
N-acetylasparagine	-0.396767117159234	-0.506679583828515	0.0262275270161763
gamma-glutamyl-epsilon-lysine	-0.102544613217986	-0.276772762514885	0.219515981964504
1-palmitoyl-GPC (16:0)	0.0368419321512665	0.236014918714563	0.294459270415987
N-acetylarginine	-0.397105420777166	-0.643634394223809	0.00515498579761265
piperine	-0.580684878014914	-0.22187325469125	0.324145085677583
campesterol	-0.0709499276976393	-0.114420918943648	0.610302532868719
myristoylcarnitine (C14)	0.0551449931023456	0.141984139470174	0.527304713152535
1-stearoyl-GPC (18:0)	-0.0247405191296578	-0.109306876234964	0.626330048120749
1-oleoyl-GPC (18:1)	-0.0336209536148055	-0.118086130714287	0.598931116755996
N-acetylthreonine	-0.163480929117416	-0.433530908958391	0.0561417078062451
N-acetylisoleucine	-0.0795724763237591	-0.224151868039339	0.319232013457033
10-nonadecenoate (19:1n9)	0.210703363510189	0.195254791662205	0.3852311743531
10-heptadecenoate (17:1n7)	0.217857242914246	0.204481680222596	0.363288300767909
epiandrosterone sulfate	-0.229638186182407	-0.182286383687959	0.417434685247682
N-acetylhistidine	-0.166967852211729	-0.363728193362692	0.107846690856554
gamma-glutamylglycine	-0.146769133406751	-0.412596342775579	0.0688057388014411
gamma-glutamyltryptophan	0.0297064614554072	0.0900145207065717	0.688375163882654
stachydrine	-1.09461771663886	-0.293865992606561	0.192627723600996
alpha-hydroxyisovalerate	0.139669454873795	0.130467558840096	0.561261224772947
gamma-glutamylmethionine	0.0623260301731375	0.147424113580075	0.511644553596155
gamma-glutamylthreonine	-0.132530714609064	-0.44121455454846	0.0520184650215169
p-cresol sulfate	-0.170973669371986	-0.189447715413912	0.399455777618702
erythronate*	-0.149206624052687	-0.360949685974728	0.110519042556778
N-acetylproline	-0.0697521202385371	-0.153121675114311	0.495512010367547
eicosenoate (20:1)	0.199992009402788	0.177887801322695	0.428714709622995
linolenate [alpha or gamma; (18:3n3 or 6)]	0.164190690872078	0.138775272497893	0.536657683763795
aconitate [cis or trans]	0.0861040000737955	0.434777750806262	0.0554543356869552
heme	-0.389895208431235	-0.528339947135209	0.0206290707691472
stearoylcarnitine (C18)	-0.0381290612571382	-0.116004794164818	0.605376523579787
laurylcarnitine (C12)	-0.00757987164827452	-0.0153148423262161	0.945570808647622
isovalerylcarnitine (C5)	-0.0437734255371885	-0.0864710358487549	0.700023740373287
1-linoleoyl-GPC (18:2)	-0.0117641629346837	-0.0430906098045296	0.847689264027979
7-methylxanthine	-0.277022120139767	-0.231810317030422	0.303084887939519
1,3,7-trimethylurate	0.103559210665958	0.0994285607217408	0.657798302105508
1,7-dimethylurate	0.00457402224822249	0.00344768089981118	0.987737676677897
1-methylurate	0.108853005913045	0.0713770780870548	0.75042210640357
5-acetylamino-6-formylamino-3-methyluracil	0.192357691624487	0.0838673345019018	0.708629221008103
5-acetylamino-6-amino-3-methyluracil	-0.0623925712244115	-0.047155369687818	0.83352680731714
indolebutyrate	-0.0836242748772868	-0.0976601797189243	0.66349963165366
1-methylxanthine	0.243906341699331	0.204827996751258	0.362480529557013
N1-methylinosine	-0.0899160170008616	-0.190312697144672	0.39731678923689
N2,N2-dimethylguanosine	-0.120242354872256	-0.362952620592876	0.108587332609936
N4-acetylcytidine	-0.134257591921883	-0.221957248177052	0.323963095193174
N6-carbamoylthreonyladenosine	-0.0986090998551895	-0.266074560868261	0.237686489688626
orotidine	-3.0964127441796	-0.330750617083817	0.143124533184083
phenylacetylglutamine	-0.0543481639336968	-0.0843879191626554	0.706905561212621
4-hydroxyhippurate	-0.131016946188113	-0.0941805438276074	0.674776032972134
5,6-dihydrouridine	-0.14099654230059	-0.404824857285383	0.0740798786581702
3-(3-amino-3-carboxypropyl)uridine*	-0.19573031973287	-0.463338350519912	0.0415595626021245
1-arachidonylglycerol (20:4)	0.0340193142425777	0.0435490515759845	0.84608935705868
cysteine-glutathione disulfide	-0.0796884046010085	-0.132238338153046	0.555970658827804
5-methyluridine (ribothymidine)	-0.0846501683110167	-0.324239035320285	0.151056351104826
isovalerylglycine	-0.325573884675374	-0.268832700319622	0.232901385830018
7-methylguanine	-0.0164381465984374	-0.0596995831581557	0.790185591858051
1-stearoyl-GPE (18:0)	0.0495585788164264	0.155046381301387	0.490125446140865
3-methylcytidine	-0.20567531317624	-0.528243790070788	0.020651373537739
N1-methyl-2-pyridone-5-carboxamide	-0.543474174095423	-0.422783250144171	0.0623720516501152
N1-methyl-4-pyridone-3-carboxamide	-0.555734915365123	-0.337118234943041	0.135686818008668
gamma-glutamylisoleucine*	-0.0419236281114307	-0.0922407867007013	0.681094847610175
oleoylcarnitine (C18:1)	0.0881941153101632	0.245929933781569	0.27478819952273
gamma-glutamyl-2-aminobutyrate	-0.238529565353286	-0.305375745088382	0.175964148708523
2-methylbutyrylcarnitine (C5)	-0.130957682930897	-0.229912674804075	0.307033381514914
phenol sulfate	-0.834228985267996	-0.389949468082395	0.0851150280020708
1-palmitoleoyl-GPC (16:1)*	0.0933305579901799	0.236542352376477	0.293389212164409
glutamine_degradant*	-0.153415301449583	-0.229323770473989	0.308265765906725
2-hydroxy-3-methylvalerate	0.1469947125112	0.13834774605356	0.537910198381395
homostachydrine*	-0.317838579005864	-0.403415413966636	0.0750716075729634
1-arachidonoyl-GPC (20:4n6)*	0.0206286384138167	0.0630611066731451	0.778676754663148
2-palmitoyl-GPC (16:0)*	0.064680534759789	0.238897016317719	0.288644531735734
1-palmitoyl-GPE (16:0)	0.0142976399595581	0.0395771354252112	0.859971634755471
1-oleoyl-GPE (18:1)	0.0494372471243301	0.110848144903414	0.62148023420628
1-linoleoyl-GPE (18:2)*	0.0584375798968372	0.157703022218122	0.482743501937448
1-arachidonoyl-GPE (20:4n6)*	0.0707723440594767	0.287126153064324	0.202919547213282
N-acetylcitrulline	-0.262326768729623	-0.215142894906772	0.338948453423107
2-hydroxypalmitate	0.0503753178128948	0.178984682557055	0.425885004177331
gulonate*	-0.280686738954014	-0.326073466434289	0.148788020195979
glutarylcarnitine (C5-DC)	-0.239029865756975	-0.446340405668009	0.0494137527480891
beta-hydroxyisovaleroylcarnitine	-0.136556821357485	-0.334257753920469	0.138989498603246
tiglylcarnitine (C5:1-DC)	-0.192941738844625	-0.38148004733275	0.0919814624048031
hydroquinone sulfate	-0.776072804601125	-0.434464257187803	0.055626485597336
catechol sulfate	-0.424711647226671	-0.432989366393638	0.0564425000819008
cholesterol sulfate	0.0465870077783384	0.130676014417383	0.560637133686306
7alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	0.0814658824987152	0.188192838421907	0.402571452051329
3beta,7alpha-dihydroxy-5-cholestenoate	0.0635344214077311	0.157543768661844	0.483184274442569
N-acetyl-aspartyl-glutamate (NAAG)	0.017435568172996	0.0428152078177445	0.848650692187336
